legal_id,instrument_framework,jurisdiction,legal_force,status,scope,material_exclusions,authority_owner,application_publication,source_id,direct_url,last_checked
L-016,NIST AI RMF Generative AI Profile,United States / international use,Non-binding / voluntary,Published,"Generative-AI risk identification, measurement, management, monitoring, provenance, incident, and governance practices.",Voluntary; no election-specific or binding release threshold.,NIST,2024-07-26,SRC-011,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,2026-08-11
L-017,C2PA Technical Specification 2.4,International standard ecosystem,Non-binding / voluntary,Current specification,Cryptographically signed content credentials and provenance assertions.,"Participation gaps, stripping, laundering, capture-chain gaps, and no protection against truthful manipulation.",Coalition for Content Provenance and Authenticity,2025,SRC-043,https://spec.c2pa.org/specifications/specifications/2.4/specs/C2PA_Specification.html,2026-08-11
L-018,Canada Directive on Automated Decision-Making,Canada federal government,Binding,Operational,"Impact assessment, testing, peer review, notice, explanation, human intervention, recourse, and contingency controls.","Self-scoring, scope limits, and weak adaptation to general-purpose or generative systems.",Treasury Board of Canada Secretariat,Updated 2025-06-24,SRC-064,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,2026-08-11
L-019,UK Algorithmic Transparency Recording Standard (ATRS),United Kingdom,Mandatory administrative policy within scope; recommended elsewhere,Operational; mandatory central-government rollout,Publication of an ATRS record for Beta/Pilot or Production algorithmic tools used by in-scope central-government organisations where the tool significantly influences a decision with public effect or directly interacts with the public.,"The mandate does not generally extend beyond central government; broad-policy analytical models and pre-Beta tools are normally outside mandatory scope. FOIA, EIR and data-protection exemptions permit withholding or reducing sensitive information, exceptionally including the existence of a tool.",Government Digital Service; each in-scope central-government organisation,Mandate announced 2024-02-06; mandatory scope and exemptions policy published 2024-12-17; guidance updated 2025-05-08,SRC-120,https://www.gov.uk/government/publications/algorithmic-transparency-recording-standard-mandatory-scope-and-exemptions-policy/algorithmic-transparency-recording-standard-atrs-mandatory-scope-and-exemptions-policy,2026-08-13
L-020,Frontier AI Safety Commitments — AI Seoul Summit 2024,International,Non-binding / voluntary,Voluntary commitments agreed by 20 listed organisations after the 2025-02-07 update; implementation is organisation-specific,"Frontier AI models and systems only: lifecycle severe-risk assessment, evaluative input, measurable risk thresholds, mitigations, stop-development or stop-deployment processes where risks cannot be kept below thresholds, internal accountability, and public or trusted-actor transparency.",Voluntary and limited to signatories and frontier AI; signatories may evolve their approaches. Public disclosure can be limited for risk or disproportionate commercial sensitivity. The text creates no common enforcement mechanism and no comprehensive democratic-manipulation regime.,Signatory organisations; UK and Republic of Korea governments (announcers),Published 2024-05-21; signatory list updated 2025-02-07,SRC-121,https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024,2026-08-13
L-021,EU AI Act — Annex III 8(b) election-influence systems,EU/EEA,Binding — phased,Listed high-risk use case; main duties apply 2027-12-02,Systems intended to influence election/referendum outcomes or voting behaviour with direct exposure; administrative/logistical campaign tools excluded.,Administrative or logistical campaign tools that do not directly influence voters are excluded; obligations are not yet generally applicable.,European Commission; national authorities,2027-12-02,SRC-111,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02024R1689-20260727,2026-08-11
L-022,Code of Conduct on Disinformation under the DSA,EU/EEA,Binding,Auditable for signatories since 2025-07-01; first post-integration reports published 2026-03-24,"Demonetisation, political ads, coordinated manipulation, bots/impersonation/deepfakes, recommenders, researchers and election rapid response.","Commitments bind signatories through the code route, not all services; causal effect and private-channel coverage remain limited.",European Commission; signatory platforms,Integrated 2025-02-13 / auditable 2025-07-01,SRC-086,https://digital-strategy.ec.europa.eu/en/library/code-conduct-disinformation,2026-08-11
L-023,TSE Portaria 463/2026 — electoral compliance plans,Brazil,Binding,In force; plans due 2026-08-16; consolidated implementation reports due 2026-12-19,"Operationalises platform plans for social, messaging, video, search and generative/conversational AI: concrete controls, metrics, timelines, impact assessment, evidence preservation, channels and reporting.",Proportional-diligence regime rather than a guarantee of election outcomes; self-chosen indicators and limited independent access can weaken evaluation.,Tribunal Superior Eleitoral,2026-07-27,SRC-087,https://www.tse.jus.br/legislacao/compilada/prt/2026/portaria-no-463-de-27-de-julho-de-2026,2026-08-11
L-024,Unfair Commercial Practices Directive (Directive 2005/29/EC) and 2021 Commission guidance,EU/EEA,Binding directive via national transposition; non-binding Commission guidance,Directive in force and national measures applicable; 2021 Commission guidance operational,"Unfair business-to-consumer commercial practices before, during and after a transaction in relation to a product. The guidance expressly covers algorithms, AI, targeting, algorithmic personalisation, recommender systems, data-driven persuasion and dark patterns when the UCPD tests are met.","Generally excludes non-commercial or electoral persuasion, B2B-only conduct and interests other than consumers' economic interests; requires a trader, consumer, product-related commercial practice and actual or likely effect on a transactional decision. More specific EU rules prevail in case of conflict. The guidance itself has no legal force.",Member-State courts and administrative consumer authorities; European Commission coordination and guidance,Directive published 2005-06-11; national measures applicable by 2007-12-12; guidance published 2021-12-29; current applicable consolidation dated 2022-05-28,SRC-122,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A52021XC1229%2805%29,2026-08-13
L-025,UK Online Safety Act — one-to-one chatbot coverage boundary,United Kingdom,Binding,In force under phased implementation,"Covers regulated search and user-to-user services, illegal content duties and specified harmful-content regimes.",A provider's one-to-one generative chatbot output is generally outside Part 3 unless another regulated function applies; lawful political misinformation is not a general regulated category.,Ofcom,2023; current Ofcom interpretation,SRC-091,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/ai-chatbots-and-online-regulation-what-you-need-to-know,2026-08-11
L-026,New York AI companion chatbot safeguards,"New York, United States",Binding,Enacted 2025; state implementation applies under the enacted provisions,"Disclosure that the system is not human, periodic reminders during sustained use and a protocol for self-harm or suicide expressions.","Relational-safety precedent, not evidence of political dependence or democratic agency transfer; jurisdiction and service definitions are narrow.",New York State,2025-05,SRC-092,https://www.governor.ny.gov/news/governor-hochul-signs-legislation-expanding-historic-empire-ai-consortium-and-establishing,2026-08-11
L-027,EU Digital Fairness Act — planned Commission initiative,EU/EEA,Planned legislative initiative; no legal force,Under preparation; Commission legislative initiative scheduled for Q4 2026 on an indicative timetable; no proposal adopted as of 2026-08-13,"Officially stated intended scope includes dark patterns, addictive design of digital products, unfair personalisation, misleading influencer marketing, unfair price-marketing practices and digital-contract issues, with particular attention to vulnerable consumers and minors.","No legislative text, duties, thresholds, addressees, enforcement model or final scope yet. Official materials do not specifically promise AI-assistant transparency. The initiative is consumer/commercial in orientation and must not be coded as an implemented intervention or evidence of effectiveness.",European Commission (preparation); European Parliament and Council only after a proposal,2026 work programme published 2025-10-21; planned Q4 2026 proposal (indicative),SRC-123,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A52025DC0870,2026-08-13
L-028,NIST AI Agent Standards Initiative,United States / international use,Non-binding / voluntary,Operational; launched 2026-02-17 and updated 2026-04-20,"Agent standards and protocols, identity/authentication/authorization research, and security evaluation methods.","Voluntary and security-led; does not itself establish root-purpose provenance, political safeguards or a binding deployment gate.",NIST,2026-02-17,SRC-002,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,2026-08-11
