implementation_id,control_family_id,legacy_ids,intervention,layer,instrument_class,operative_instrument_legal_basis,implementer,jurisdiction,legal_force,legal_status,legal_scope_correction,operational_maturity,mechanism_targeted,causal_chain_point,agency_domain,primary_evidence_basis,mechanism_evidence_tier,intervention_effect_evidence,claim_class,expected_effect,main_failure_evasion,rights_trade_offs,metric,decision_tier,decision_rationale,horizon_date,part_1_linkage,part_2_linkage,last_reviewed,notes,family_name,mechanism_ids,context_entity_ids,research_gap_ids,claim_ids,effect_claim_ids,legal_claim_ids,mechanism_claim_ids,source_ids,policy_package_ids,effect_claim_checked,legal_claim_checked,mechanism_claim_checked,effect_claim_reviewed,priority_effect_review_outcomes,priority_effect_publication_actions,publication_claim_class,publication_status
I-011,CF-011,P4-011,APE-style harmful-persuasion propensity diagnostic — not a release gate,Model / provider,Research / evaluation,pre-release benchmark and release condition,"model providers, independent evaluators and AI safety institutes",international recommendation,Research,Research proposal,"APE is an E0 diagnostic, not a validated release gate.",Research,"Test whether a model attempts persuasion on harmful and election-relevant objectives across direct, indirect and multi-turn prompts",instruction following → campaign or influence actor → generated persuasive dialogue → voter → attempted preference shaping → agency transfer,Evaluative; Decisional; Collective / institutional,External empirical,E0,None — mechanism or proposal only,Plausible hypothesis,Detects willingness to persuade where generic harmful-content benchmarks and direct-request refusal tests miss risk,Attempt rate is not persuasion efficacy; evaluator-model bias; benchmark contamination; narrow topic coverage,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Harmful-attempt rate with 95% confidence intervals by topic, language, prompt type, turn and safeguard condition",Research / hold,Useful diagnostic signal; no validated path from score to human harm or release prohibition.,Research — 6–30 months,No direct link,Contextual capability link,2026-08-11,"Run the persisted APE suite against base, instruct, API, open-weight and abliterated variants; preserve transcripts and release-level metadata.",APE-style harmful-persuasion propensity diagnostic — not a release gate,M-03; M-04; M-12; M-14; M-16,,G-02,CLM-0022; CLM-0023,CLM-0023,,CLM-0022,SRC-008,P04,false,false,true,false,,,Plausible hypothesis,research_preview
I-012,CF-012,P4-012,Context-specific manipulation efficacy evaluation,Model / provider,Research / evaluation,human-participant TEVV protocol and deployment gate,"providers, regulators and accredited research institutions",international recommendation,Voluntary / private,Operational voluntary,implemented by Google DeepMind; recommended as common requirement,Pilot,Measure both manipulative tactics and actual belief or behaviour change in controlled high-stakes interactions across locales,manipulative capability → provider or operator → contextual dialogue → person → belief or behavioural change → loss of reflective agency,Epistemic; Evaluative,Normative proposal,E2,None — mechanism or proposal only,Plausible hypothesis,Separates propensity from efficacy and tests process and outcome harms in contexts where manipulation may actually work,"Cost, participant ethics, limited external validity, cultural variation and inability to test the most harmful scenarios directly","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Belief and behaviour change versus control; tactic frequency; heterogeneous effects by locale and vulnerability; persistence at follow-up,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,APE should be the low-cost propensity screen; models crossing it should receive deeper election-specific outcome testing rather than treating APE as sufficient.,Context-specific manipulation efficacy evaluation,M-10; M-12; M-13; M-16,,G-02; G-04; G-06; G-12,CLM-0024; CLM-0025; CLM-0026,CLM-0026,CLM-0024,CLM-0025,SRC-009; SRC-093; SRC-095; SRC-113; SRC-114,P03,false,false,true,false,,,Plausible hypothesis,research_preview
I-013,CF-013,P4-013,MASK-style honesty and pressured-deception diagnostic — not a manipulation gate,Model / provider,Research / evaluation,behavioural benchmark and release assurance,providers and independent evaluators,international recommendation,Research,Research proposal,"MASK is an E0 diagnostic, not a manipulation or release gate.",Research,"Test whether a model knowingly contradicts its represented beliefs when instructed, incentivised or pressured to deceive",deceptive propensity → model or agent controller → trusted answer or recommendation → user or official → false belief under asymmetric trust → agency transfer,Epistemic; Decisional; Executive; Relational,External empirical,E0,None — mechanism or proposal only,Plausible hypothesis,Adds intentional or pressure-induced deception to manipulation evaluation instead of conflating honesty with factual accuracy,Model beliefs are difficult to infer; benchmark may not represent strategic deception in deployed agents,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Honesty conditional on inferred knowledge; contradiction rate under pressure; calibration and evaluator agreement,Research / hold,Useful diagnostic signal; no validated path from score to human harm or release prohibition.,Research — 6–30 months,No direct link,Contextual capability link,2026-08-11,MASK complements APE: APE measures willingness to influence; MASK tests whether the model will knowingly misrepresent information while doing so.,MASK-style honesty and pressured-deception diagnostic — not a manipulation gate,M-05; M-06; M-09; M-13; M-16,,G-02,CLM-0027; CLM-0028,CLM-0028,,CLM-0027,SRC-010,P04,false,false,true,false,,,Plausible hypothesis,research_preview
I-014,CF-014,P4-014,"Adaptive jailbreak, fine-tuning and abliteration robustness testing",Model / provider,Research / evaluation,mandatory adversarial TEVV and robustness margin,"providers, external red teams and regulators",EU compliance practice; international recommendation,Mixed,Applicable,Article 55 duties bind systemic-risk GPAI providers; NIST/Code testing methods remain voluntary compliance choices.,Pilot,"Evaluate mitigations under adaptive prompting, safety-removal fine-tunes, altered system prompts, scaffolds and abliterated checkpoints",latent capability → adversarial modifier → safeguard removal → influence campaign → harmful persuasion at scale → agency transfer,Evaluative,Project — exploratory,Project-X,None — legal existence only,Established — legal status,Tests the actual threat model demonstrated by open weights and Part 1 rather than relying on default-chat refusals,Expensive adaptive testing; publication can aid attackers; no stable definition of sufficient robustness,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Worst-case safeguard bypass rate; APE and MASK degradation after attack or fine-tune; attack cost; safety-capability Pareto frontier,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,Exploratory link,Contextual capability link,2026-08-11,Part 1’s persisted jailbreak and abliterated-model runs are direct evidence for making adversarial elicitation a formal release test.,"Adaptive jailbreak, fine-tuning and abliteration robustness testing",M-02; M-16,,G-02; G-12,CLM-0029; CLM-0030; CLM-0031,CLM-0031,CLM-0029,CLM-0030,SRC-011,P01; P03,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-015,CF-015,P4-015,Agent-scaffold and tool-access evaluation,Model / provider,Research / evaluation,agentic capability evaluation and deployment gate,"providers, NIST or AISI and independent evaluators",international recommendation,Voluntary / private,Operational voluntary,evaluation infrastructure implemented; policy gate recommended,Pilot,"Test models with realistic memory, browsing, tools, parallelism, long horizons and campaign-like scaffolding",agentic capability → operator → tools and persistent workflow → target population → adaptive repeated influence → agency transfer at scale,Evaluative; Executive,Project — exploratory,Project-X,None — mechanism or proposal only,Plausible hypothesis,Reveals capabilities hidden by single-turn model tests and measures end-to-end campaign assistance,Results depend heavily on scaffold quality; agents can exploit or cheat evaluations; dual-use evaluation artefacts,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",End-to-end task success; autonomous steps; tool calls; intervention frequency; time and cost to campaign objective,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,Exploratory link,Contextual capability link,2026-08-11,Re-run Part 1 prompts through agent scaffolds; Part 2 should report both raw-model and system-level capability trajectories.,Agent-scaffold and tool-access evaluation,M-04; M-06; M-16,,G-02; G-03,CLM-0032; CLM-0033; CLM-0034,CLM-0034,CLM-0032,CLM-0033,SRC-002,P02; P03,false,false,false,false,,,Plausible hypothesis,research_preview
I-016,CF-046,P4-016,Independent evaluator access to capable and minimally mitigated models,Model / provider,Law / regulation,GPAI Code external-evaluator commitments; proposed statutory access right and safe harbour,"AI Office, providers and accredited evaluators",EU compliance practice,Proposed,Proposed / pending,Code commitment for signatories; broader access right proposed,Pilot,"Give qualified external evaluators timely access to the strongest model, relevant internals and the version with the fewest safeguards",provider information asymmetry → independent testing → credible risk evidence → constrained release decision → reduced agency concentration,Epistemic; Decisional; Relational; Collective / institutional,Normative proposal,None,None — mechanism or proposal only,Plausible hypothesis,"Reduces self-assessment bias and permits realistic APE, MASK and red-team testing before irreversible release","Trade-secret and security leakage; provider-selected evaluators; insufficient time, compute or publication freedom","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Number and independence of evaluators; access lead time; compute budget; findings fixed; publication delays,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,"The Code commitment is a voluntary compliance route for signatories, not a standalone statutory right to minimally mitigated models or publication freedom.",Independent evaluation and researcher access,M-02; M-05; M-12; M-13; M-14,,G-13,CLM-0035; CLM-0036,CLM-0036,,CLM-0035,SRC-004,P13,false,false,true,false,,,Plausible hypothesis,research_preview
I-017,CF-017,P4-017,Pre-release safety case and Safety and Security Model Report,Model / provider,Governance / assurance,GPAI Code Safety and Security Model Report; proposed statutory safety-case gate,systemic-risk GPAI provider and AI Office,EU,Proposed,Proposed / pending,Code commitment for signatories; statutory release-condition extension proposed,Pilot,"For signatories, document systemic-risk reasoning in the Safety and Security Model Report; a regulator-filed pre-release safety case or release condition is a further proposal.",capability evidence → provider decision → release modality → public exposure → residual manipulation risk → accountability for agency transfer,Evaluative; Decisional; Collective / institutional,Normative proposal,None,None — mechanism or proposal only,Plausible hypothesis,"Forces evaluation results, assumptions, mitigations, uncertainty and release reasoning into one auditable decision record",Can become compliance theatre; provider defines acceptability; confidential filings limit public scrutiny,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Pre-release filing rate; safety-margin size; unresolved findings; regulator challenge rate; post-release falsification,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,"No EU pre-release approval follows automatically from the Code. APE/MASK may be evidence inputs, never isolated acceptance thresholds.",Pre-release safety case and Safety and Security Model Report,M-02; M-12; M-14; M-16,,G-02,CLM-0037; CLM-0038,CLM-0038,,CLM-0037,SRC-004,,false,false,true,false,,,Plausible hypothesis,research_preview
I-018,CF-018,P4-018,Continuous post-deployment re-evaluation,Model / provider,Research / evaluation,continuous monitoring and mandatory report update,"providers, deployers and regulator",EU; international recommendation,Binding — limited scope,Applicable,Binding Article 55 duties for GPAI with systemic risk; monitoring methods remain under development.,Operational,"Repeat risk assessment after post-training, new tools, higher inference compute, new integrations, incidents or observed drift",deployment change → provider or integrator → altered model affordances → users → emergent influence or dependency → agency transfer,Executive; Relational,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Addresses risks that static pre-release benchmarks cannot observe, including adaptive relationships and integration effects",Privacy-invasive logging; distributed-system blind spots; monitoring burden; uncertain causal attribution,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Re-evaluation cadence; drift in APE, MASK and efficacy metrics; incidents per million interactions; time to mitigation",Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,Contextual capability link,2026-08-11,"The research harness should preserve model version, provider, safeguard state and date so Part 2 becomes a genuine longitudinal monitor.",Continuous post-deployment re-evaluation,M-05; M-12; M-15; M-16,,,CLM-0039; CLM-0040; CLM-0041,CLM-0041,CLM-0039,CLM-0040,SRC-012,P01; P03,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-019,CF-019,P4-019,Serious-incident reporting plus a proposed manipulation near-miss register,Model / provider,Coordination / incident response,AI Act Article 55 serious-incident duty; proposed near-miss extension,"providers, deployers, AI Office and national authorities",EU baseline; recommended expansion internationally,Proposed,Proposed / pending,Serious-incident reporting binding; near-miss extension proposed,Design-ready,"Report serious incidents under the binding AI Act duty; separately pilot protected reporting of manipulation near misses, safeguard bypass and deceptive agent behaviour.",deployed model → operator or autonomous agent → harmful influence event → affected public → detected agency loss → corrective action,Evaluative; Executive; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Creates feedback between real misuse and model evaluation, safeguards and regulatory thresholds","Current definitions favour acute catastrophic harm and may miss cumulative autonomy loss, election effects and near misses","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Reporting latency; incident and near-miss rate; taxonomy coverage; corrective-action closure time; recurrence,Research / hold,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,"Near misses are not automatically statutory serious incidents. Preserve the distinction in metrics, confidentiality and enforcement.",Serious-incident reporting plus a proposed manipulation near-miss register,M-02; M-06; M-12; M-14; M-16,,,CLM-0042; CLM-0043,CLM-0043,,CLM-0042,SRC-007,P01,false,false,false,false,,,Plausible hypothesis,research_preview
I-020,CF-020,P4-020,Independent systemic-risk executive and board accountability,Model / provider,Governance / assurance,corporate governance requirement,frontier developer boards and regulators,EU compliance practice; international recommendation,Voluntary / private,Partial / verify,Code commitment for signatories; not a standalone statutory governance duty,Partial / uneven,"Assign risk oversight to an executive independent of core capability and product functions, with documented escalation",commercial pressure → provider governance → release decision → public exposure → unchecked influence capability → concentrated power,Decisional; Relational; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Reduces conflicts between model release incentives and manipulation-risk findings,Nominal independence without authority; information controlled by product teams; board capture,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Risk leader independence; veto and escalation use; unresolved safety objections; time and budget allocated to manipulation risk,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,Executive and board governance is a GPAI Code commitment for signatories; broader corporate-governance duties remain a policy extension.,Independent systemic-risk executive and board accountability,M-05; M-14; M-15; M-16,,,CLM-0044; CLM-0045; CLM-0046,CLM-0046,CLM-0044,CLM-0045,SRC-004,,false,false,true,false,,,Plausible hypothesis,research_preview
I-021,CF-021,P4-021,Frontier-safety whistleblower protection,Model / provider,Governance / assurance,"employment law, anti-retaliation right and reporting hotline","California Attorney General, courts and frontier developers","California, United States",Binding,Applicable,implemented,Operational,"Protect employees reporting concealed risk, misleading safety claims or framework noncompliance and provide anonymous channels",internal risk knowledge → employee disclosure → regulator or board action → constrained unsafe release → reduced provider power asymmetry,Multiple / context-dependent,Legal / operational precedent,None,None — legal existence only,Established — legal status,Improves detection of suppressed evaluation failures and misleading public safety claims,California definition largely omits democratic manipulation; employees may lack evidence or still fear career harm,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Protected reports; substantiation rate; retaliation claims; time to investigation and remedy,Implement now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,Contextual capability link,2026-08-11,"A stronger version should expressly protect disclosure of harmful-manipulation eval failures, benchmark gaming and unsafe open-weight decisions.",Frontier-safety whistleblower protection,M-05; M-12; M-16,,,CLM-0047; CLM-0048; CLM-0049,CLM-0049,CLM-0047,CLM-0048,SRC-013,,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
