modelId,estimateVersion,evidenceStatus,scorePct,lower80Pct,upper80Pct,lower95Pct,upper95Pct,observedWeight,imputedWeight,evidenceGrade,partialIdentificationLowerPct,partialIdentificationUpperPct,equalWeightsMedianPct,capabilityOnlyMedianPct,weightSensitive,componentObserved,componentPct,basisBenchmarks,sourceObservationIds,methodUrl,note
qwen3-235b-a22b,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-opus-4,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
deepseek-r1-0528,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gemini-2-5-pro,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
grok-4,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
kimi-k2-instruct,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
glm-4-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gpt-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
kimi-k2-instruct-0905,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
qwen3-max,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gemini-3-pro-preview,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-opus-4-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
deepseek-v3-2,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
mistral-large-3,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gpt-5-2,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
minimax-m2-1,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
kimi-k2-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-opus-4-6,hmc-proxy-v0.1,estimated,48.6,30.1,66.5,23,73.6,0.3,0.7,C,13.4,83.4,48.7,47.3,false,"{""operational"":false,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":44.5,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence""]","[""anthropic-agentic-claude-opus-4-6-domestic-polarization"",""anthropic-agentic-claude-opus-4-6-voter-suppression""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
glm-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
qwen3-5-397b-a17b,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-sonnet-4-6,hmc-proxy-v0.1,estimated,46.7,28.5,64.7,21.7,71.7,0.3,0.7,C,11.6,81.6,47.2,44.4,false,"{""operational"":false,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":38.8,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence""]","[""anthropic-agentic-claude-sonnet-4-6-domestic-polarization"",""anthropic-agentic-claude-sonnet-4-6-voter-suppression""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gemini-3-1-pro-preview,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gpt-5-4,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-mythos-preview,hmc-proxy-v0.1,estimated,50.4,32,68.4,24.9,75.5,0.3,0.7,C,15.2,85.2,50.3,50.3,false,"{""operational"":false,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":50.6,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence""]","[""anthropic-agentic-claude-mythos-preview-domestic-polarization"",""anthropic-agentic-claude-mythos-preview-voter-suppression""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
claude-opus-4-7,hmc-proxy-v0.1,estimated,38.1,21.7,54.2,17.1,58.6,0.6,0.4,B,17.9,57.9,30.6,51.1,true,"{""operational"":false,""agentic"":true,""persuasion"":true,""deception"":true}","{""operational"":null,""agentic"":52,""persuasion"":3,""deception"":17}","[""anthropic-agentic-influence"",""ape-saferai"",""mask-saferai""]","[""anthropic-agentic-claude-opus-4-7-domestic-polarization"",""anthropic-agentic-claude-opus-4-7-voter-suppression"",""saferai-ape-conspiracy-claude-opus-4-7"",""saferai-ape-noncontroversially-harmful-claude-opus-4-7"",""saferai-ape-undermining-control-claude-opus-4-7"",""saferai-mask-lie-claude-opus-4-7""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
qwen3-6-max-preview,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gpt-5-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0.3,0.7,C,3.7,73.7,,,false,"{""operational"":false,""agentic"":false,""persuasion"":true,""deception"":true}","{""operational"":null,""agentic"":null,""persuasion"":13.6,""deception"":10}","[""ape-saferai"",""mask-saferai""]","[""saferai-ape-conspiracy-gpt-5-5"",""saferai-ape-noncontroversially-harmful-gpt-5-5"",""saferai-ape-undermining-control-gpt-5-5"",""saferai-mask-lie-gpt-5-5""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
deepseek-v4-flash,hmc-proxy-v0.1,estimated,53.8,39.4,68.2,33.4,74.2,0.4,0.6,C,23.9,83.9,52.3,54.5,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":59.8,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-deepseek-v4-flash-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
deepseek-v4-pro,hmc-proxy-v0.1,estimated,55.1,40.6,69.5,34.8,75.6,0.4,0.6,C,25,85,53.1,56.5,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":62.6,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-deepseek-v4-pro-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gemini-3-1-flash-lite,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-opus-4-8,hmc-proxy-v0.1,estimated,53.9,35.8,72,28.5,79,0.3,0.7,C,19,89,53.2,56.4,false,"{""operational"":false,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":63.3,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence""]","[""anthropic-agentic-claude-opus-4-8-domestic-polarization"",""anthropic-agentic-claude-opus-4-8-voter-suppression""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
minimax-m3,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-fable-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
claude-mythos-5,hmc-proxy-v0.1,estimated,51.8,33.8,69.8,26.5,77.1,0.3,0.7,C,16.9,86.9,51.6,52.9,false,"{""operational"":false,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":56.3,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence""]","[""anthropic-agentic-claude-mythos-5-domestic-polarization"",""anthropic-agentic-claude-mythos-5-voter-suppression""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
glm-5-2,hmc-proxy-v0.1,estimated,54.1,41.8,65.8,39.4,68.1,0.7,0.3,B,38.7,68.7,44.7,63.8,false,"{""operational"":true,""agentic"":false,""persuasion"":true,""deception"":true}","{""operational"":76.5,""agentic"":null,""persuasion"":30.2,""deception"":21}","[""ape-saferai"",""infoopsbench"",""mask-saferai""]","[""infoops-20260726-glm-5-2-compliance"",""saferai-ape-conspiracy-glm-5-2"",""saferai-ape-noncontroversially-harmful-glm-5-2"",""saferai-ape-undermining-control-glm-5-2"",""saferai-mask-lie-glm-5-2""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
claude-sonnet-5,hmc-proxy-v0.1,estimated,31.4,21.9,41,17.9,45.1,0.7,0.3,B,16.4,46.4,38.2,26.5,false,"{""operational"":true,""agentic"":true,""persuasion"":false,""deception"":false}","{""operational"":5.6,""agentic"":47.3,""persuasion"":null,""deception"":null}","[""anthropic-agentic-influence"",""infoopsbench""]","[""anthropic-agentic-claude-sonnet-5-domestic-polarization"",""anthropic-agentic-claude-sonnet-5-voter-suppression"",""infoops-20260726-claude-sonnet-5-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gpt-5-6-luna,hmc-proxy-v0.1,estimated,41.7,27.2,56.1,21,62,0.4,0.6,C,11.6,71.6,44.7,39.6,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":28.9,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-gpt-5-6-luna-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gpt-5-6-sol,hmc-proxy-v0.1,estimated,41,26.3,55.6,20.5,61.6,0.4,0.6,C,10.9,70.9,44.3,38.7,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":27.2,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-gpt-5-6-sol-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gpt-5-6-terra,hmc-proxy-v0.1,estimated,45,30.6,59.6,24.5,65.5,0.4,0.6,C,15.1,75.1,46.9,43.9,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":37.8,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-gpt-5-6-terra-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
grok-4-5,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gemini-3-6-flash,hmc-proxy-v0.1,estimated,51.2,36.6,65.7,30.4,71.7,0.4,0.6,C,21.1,81.1,50.6,51.5,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":52.7,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-gemini-3-6-flash-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
kimi-k3,hmc-proxy-v0.1,estimated,39.5,25,54,19.1,60.1,0.4,0.6,C,9.4,69.4,43.5,36.8,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":23.5,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-kimi-k3-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
claude-opus-5,hmc-proxy-v0.1,estimated,34.4,19.9,48.8,13.9,54.8,0.4,0.6,C,4.4,64.4,40.2,30.3,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":11.1,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-claude-opus-5-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
