implementation_id,control_family_id,intervention,jurisdiction,operational_maturity,publication_claim_class,publication_decision_posture,registry_status,verification_wave,rank_eligibility,nonselection_meaning
I-026,CF-007,Open-weight ecosystem monitoring and release registry,United States recommendation; globally applicable,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-027,CF-027,Frontier model-weight cybersecurity standard,EU and California,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-028,CF-028,Mandatory downstream model documentation,EU,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-029,CF-029,Machine-readable provenance for synthetic outputs,EU and China,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-030,CF-003,"Agent identity, least privilege and high-impact confirmation",United States initiative; international recommendation,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-031,CF-031,Long-horizon agency and dependency monitoring,international recommendation,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-032,CF-032,Threshold-triggered notification for GPAI systemic-risk classification,EU,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-033,CF-033,"Regulator model-access, evaluation, mitigation and recall powers",EU,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-034,CF-098,Certified AI management system as procurement or licensing condition,international recommendation,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-035,CF-035,Democracy and agency impact assessment,Council of Europe parties and EU,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-036,CF-036,International frontier-risk reporting framework,international,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-037,CF-037,Security assessment and algorithm filing for socially mobilising generative AI,China,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-038,CF-038,Enhanced review of cloud–frontier-model partnerships,"United States, EU and allied jurisdictions",Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-039,CF-039,"Model and cloud portability, interoperability and anti-lock-in rules",EU and international recommendation,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-040,CF-040,Public-interest compute for independent evaluation and safer alternatives,California precedent; international recommendation,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-041,CF-046,Open benchmark commons and standardised public evaluation registry,international,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-043,CF-043,Recommender-system transparency for online platforms,European Union,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-044,CF-044,Ban on manipulative interface design and dark patterns,European Union,Operational,Strong inference,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-045,CF-045,Online-platform ad transparency and sensitive-data targeting limits,European Union,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-047,CF-047,Annual independent audits of systemic-risk and code commitments,European Union,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-051,CF-045,Three-month pre-election ban on political-ad services for third-country sponsors,European Union,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-053,CF-053,"Auditable platform commitments on demonetisation, bots, fake accounts, impersonation, deepfakes and recommender integrity",European Union,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-055,CF-055,European Centre for Democratic Resilience and reinforced election coordination,European Union and participating candidate countries,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-057,CF-057,Systemic platform duties for criminal foreign-interference content,United Kingdom,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-058,CF-058,Election-authority deepfake detection and impact-monitoring pilot,Great Britain,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-059,CF-045,Statutory political-ad libraries and regulator/researcher access to platform exposure data,United Kingdom,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-061,CF-052,Apply federal fraudulent-misrepresentation rules to AI that falsely claims campaign authority,United States federal elections,Partial / uneven,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-062,CF-052,On-air and political-file disclosure of AI-generated content in broadcast political ads,United States,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-063,CF-052,Platform duty to remove or label materially deceptive election deepfakes during a defined election window,"California, United States",Partial / uneven,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-065,CF-065,Election-specific human-rights risk assessment for digital platforms,Global normative framework,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-066,CF-066,Political-party code for ethical digital campaigning and AI use,European and adaptable globally,Partial / uneven,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-069,CF-069,"Platform political-ad authorisation, archive, AI disclosure and final-week ad freeze",Global disclosure policy with election-specific variations; final-week freeze used in the United States,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-070,CF-029,"Explicit, prominent and accessible disclosure of synthetic election content and the technology used",Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-073,CF-052,72-hour pre-vote and 24-hour post-vote blackout for new synthetic candidate or public-figure content,Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-074,CF-074,Electoral anti-favoritism rule for covered AI systems,Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-075,CF-042,"Platform election-impact assessments, recommender-system mitigation and result transparency",Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-077,CF-042,Mandatory platform election-integrity compliance plans with measurable indicators,Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-078,CF-045,"Verified political boosting, public repositories and platform AI-declaration fields",Brazil,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-080,CF-067,Ban on telemarketing and non-consensual mass messaging for electoral propaganda,Brazil,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-082,CF-082,Prohibit materially harmful AI manipulation and exploitation,EU/EEA,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-087,CF-086,Apply limited GDPR portability and automated-decision rights; prototype functional assistant exit,EU/EEA,Operational,Open question,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-088,CF-039,Mandate operating-system interoperability for rival AI assistants,EU/EEA; Google Android,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-089,CF-039,Remove cloud switching barriers and require interoperability,EU/EEA,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-090,CF-035,Require fundamental-rights impact assessment before specified public or public-service AI deployment,EU/EEA,Not applicable yet,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-094,CF-094,Protect and operationalize insider reporting on platform algorithmic practices,EU/EEA,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-096,CF-096,"Protect autonomy, democratic processes and free opinion formation throughout the AI lifecycle",Council of Europe parties and other ratifying states,Not applicable yet,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-098,CF-098,Publish a mandatory public-sector algorithm and AI register,United Kingdom,Partial / uneven,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-099,CF-098,"Mandate algorithmic impact assessment, explanation, peer review and recourse in government",Canada,Partial / uneven,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-100,CF-098,Use AI-specific model clauses in public procurement,EU; adaptable elsewhere,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-101,CF-035,"Use human-rights, democracy and rule-of-law impact assessment across the AI lifecycle",International,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-102,CF-102,Build an in-house public technical inspection authority,EU,Design-ready,Strong inference,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-103,CF-038,"Monitor AI markets against access, diversity, choice, flexibility, fair dealing, transparency and accountability",UK with joint EU-US relevance,Partial / uneven,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-104,CF-038,"Scrutinize frontier-lab partnerships, cloud ties and AI pre-installation agreements",EU; cross-border,Partial / uneven,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-105,CF-044,"Create an EU Digital Fairness Act covering dark patterns, addictive design and unfair personalization",EU/EEA,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-106,CF-038,Apply DMA coverage and designation analysis to qualifying AI assistants,EU/EEA,Partial / uneven,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-107,CF-074,Pilot assistant loyalty and conflict audits before considering a statutory duty,Novel; adaptable internationally,Pilot,Strong inference,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-108,CF-074,Prohibit undisclosed sponsored steering and separate advice from platform commercial interests,Novel; compatible with EU and US consumer law,Pilot,Strong inference,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-110,CF-039,Create a portable assistant-memory capsule with verified deletion at origin,Novel; EU-compatible,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-111,CF-035,Create an Agency Transfer Impact Assessment,Novel,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-112,CF-098,Adopt an institutional AI independence standard for public procurement,Novel; especially EU member states,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-113,CF-038,Publish an AI concentration and dependency dashboard across the full stack,Novel; international coordination desirable,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-114,CF-038,Apply presumptions and structural remedies to cross-stack AI consolidation,"Novel; EU, UK and US relevant",Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-115,CF-040,Create a public-interest AI option and shared public AI infrastructure,Novel; national or European,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-116,CF-046,Fund independent longitudinal audits and give civil society standing,Novel,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-117,CF-118,Prototype freedom-of-thought safeguards for AI-mediated influence,International and domestic,Research,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-118,CF-118,Research democratic-authorization and sunset procedures for high-reach civic AI,Novel,Research,Open question,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-119,CF-074,"Require pluralistic, user-controllable source and viewpoint architecture in dominant AI answer systems",Novel; EU-compatible,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-120,CF-006,"Pilot election-period safeguards using evidence tiers, not a benchmark trigger",Novel; EU pilot suitable,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
