relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids
CS-0187,CLM-0025,SRC-095,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0187
CS-0188,CLM-0025,SRC-113,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0188
CS-0189,CLM-0025,SRC-114,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0189
CS-0030,CLM-0027,SRC-010,Supports,Source supports P4-013 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0030
CS-0031,CLM-0030,SRC-011,Context only / pending claim check,Source supports P4-014 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0031; CS-0122
CS-0004,CLM-0033,SRC-002,Context only / pending claim check,Source supports P4-015 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0004; CS-0123
CS-0011,CLM-0035,SRC-004,Supports,Source supports P4-016 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0011; CS-0124
CS-0012,CLM-0037,SRC-004,Supports,Source supports P4-017 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0012; CS-0125
CS-0032,CLM-0040,SRC-012,Context only / pending claim check,Source supports P4-018 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0032; CS-0126
CS-0023,CLM-0042,SRC-007,Context only / pending claim check,Source supports P4-019 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0023
CS-0013,CLM-0045,SRC-004,Supports,Source supports P4-020 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0013; CS-0127
CS-0033,CLM-0047,SRC-013,Context only / pending claim check,Source supports P4-021 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0033
CS-0014,CLM-0051,SRC-004,Supports,Source supports P4-022 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0014; CS-0128
CS-0177,CLM-0055,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0177
CS-0035,CLM-0056,SRC-015,Context only / pending claim check,Source supports P4-024 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0035; CS-0129
CS-0024,CLM-0058,SRC-007,Context only / pending claim check,Source supports P4-025 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0024
CS-0018,CLM-0061,SRC-005,Context only / pending claim check,Source supports P4-026 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0018; CS-0130
CS-0015,CLM-0064,SRC-004,Supports,Source supports P4-027 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0015; CS-0131
CS-0025,CLM-0067,SRC-007,Context only / pending claim check,Source supports P4-028 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0025; CS-0132
CS-0036,CLM-0070,SRC-016,Context only / pending claim check,Source supports P4-029 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0036; CS-0133
CS-0005,CLM-0073,SRC-002,Context only / pending claim check,Source supports P4-030 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0005; CS-0134
CS-0038,CLM-0076,SRC-017,Context only / pending claim check,Source supports P4-031 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0038; CS-0135
CS-0178,CLM-0078,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0178
CS-0026,CLM-0079,SRC-007,Context only / pending claim check,Source supports P4-032 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0026; CS-0136
CS-0027,CLM-0082,SRC-007,Context only / pending claim check,Source supports P4-033 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0027; CS-0137
CS-0039,CLM-0085,SRC-018,Context only / pending claim check,Source supports P4-034 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0039; CS-0138
CS-0040,CLM-0088,SRC-019,Supports,Source supports P4-035 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0040; CS-0139
CS-0041,CLM-0091,SRC-020,Context only / pending claim check,Source supports P4-036 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0041; CS-0140
CS-0042,CLM-0094,SRC-021,Context only / pending claim check,Source supports P4-037 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0042
CS-0043,CLM-0097,SRC-022,Context only / pending claim check,Source supports P4-038 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0043
CS-0044,CLM-0099,SRC-023,Context only / pending claim check,Source supports P4-039 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0044; CS-0141
CS-0034,CLM-0101,SRC-013,Context only / pending claim check,Source supports P4-040 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0034
CS-0046,CLM-0105,SRC-024,Context only / pending claim check,Source supports P4-041 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0046; CS-0142
CS-0007,CLM-0108,SRC-003,Context only / pending claim check,Source supports P4-042 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0007; CS-0143
CS-0083,CLM-0108,SRC-053,Context only / pending claim check,Source supports P4-085 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0083; CS-0160
CS-0047,CLM-0110,SRC-025,Supports,Source supports P4-043 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0047
CS-0050,CLM-0113,SRC-025,Supports,Source supports P4-083 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0050
CS-0052,CLM-0114,SRC-026,Context only / pending claim check,Source supports P4-044 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0052; CS-0144
CS-0190,CLM-0115,SRC-026,Context only / not empirical evidence,The DSA Q&A anchors legal context for Article 25 but does not support the corrected experimental consent-interface claim.,Legal context only; no inference about regulatory effectiveness or agency transfer.,URL recorded — recheck before citation,Empirical support is recorded separately in CS-0194.,CS-0190
CS-0194,CLM-0115,SRC-115,Supports,The experiment directly estimated notice-acceptance changes under manipulated first-page button conditions.,"Bounded to injected cookie-consent notices, a 40-person United States sample, and binary acceptance; no policy-enforcement or agency endpoint, and no causal estimate of preference alignment.",Claim checked — empirical source,The study separately reports stated ideal preferences. The published confidence interval for the 23.1-point banner estimate appears internally inconsistent.,CS-0194
CS-0049,CLM-0116,SRC-025,Supports,Source supports P4-045 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0049
CS-0053,CLM-0120,SRC-027,Context only / pending claim check,Source supports P4-046 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0053; CS-0145
CS-0091,CLM-0120,SRC-059,Context only / pending claim check,Source supports P4-093 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0091
CS-0054,CLM-0123,SRC-028,Context only / pending claim check,Source supports P4-047 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0054
CS-0146,CLM-0123,SRC-086,Context only / pending claim check,Primary anchor retained from legacy P4-047; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0146
CS-0055,CLM-0126,SRC-029,Context only / pending claim check,Source supports P4-048 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0055; CS-0147
CS-0056,CLM-0128,SRC-030,Supports,Source supports P4-049 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0056
CS-0182,CLM-0131,SRC-030,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0182
CS-0057,CLM-0132,SRC-031,Context only / pending claim check,Source supports P4-050 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0057; CS-0148
CS-0183,CLM-0134,SRC-030,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0183
CS-0058,CLM-0135,SRC-031,Context only / pending claim check,Source supports P4-051 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0058; CS-0149
CS-0179,CLM-0137,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0179
CS-0037,CLM-0138,SRC-016,Context only / pending claim check,Source supports P4-052 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0037; CS-0150
CS-0059,CLM-0141,SRC-032,Context only / pending claim check,Source supports P4-053 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0059; CS-0151
CS-0060,CLM-0144,SRC-033,Context only / pending claim check,Source supports P4-054 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0060
CS-0061,CLM-0147,SRC-034,Context only / pending claim check,Source supports P4-055 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0061; CS-0152
CS-0062,CLM-0150,SRC-035,Context only / pending claim check,Source supports P4-056 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0062
CS-0063,CLM-0153,SRC-036,Context only / pending claim check,Source supports P4-057 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0063; CS-0153
CS-0064,CLM-0156,SRC-037,Context only / pending claim check,Source supports P4-058 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0064
CS-0065,CLM-0158,SRC-038,Context only / pending claim check,Source supports P4-059 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0065
CS-0066,CLM-0160,SRC-039,Context only / pending claim check,Source supports P4-060 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0066
CS-0067,CLM-0164,SRC-040,Context only / pending claim check,Source supports P4-061 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0067
CS-0068,CLM-0168,SRC-042,Context only / pending claim check,Source supports P4-063 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0068
CS-0069,CLM-0171,SRC-043,Context only / pending claim check,Source supports P4-064 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0069; CS-0154
CS-0155,CLM-0174,SRC-044,Context only / pending claim check,Primary anchor retained from legacy P4-065; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0155
CS-0070,CLM-0177,SRC-045,Context only / pending claim check,Source supports P4-066 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0070; CS-0156
CS-0071,CLM-0180,SRC-046,Context only / pending claim check,Source supports P4-067 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0071
CS-0191,CLM-0181,SRC-046,Context only / product policy,The WhatsApp FAQ anchors the existence of product forwarding rules but does not support the corrected observational label-coverage claim.,"Product-policy context only; no causal inference about delay, reach, virality, or harm.",URL recorded — recheck before citation,Empirical support is recorded separately in CS-0195.,CS-0191
CS-0195,CLM-0181,SRC-116,Supports,The study directly measured FMT-label coverage among duplicated-media appearances in selected public political groups.,"Descriptive conditional endpoint only; no causal effect on cost, delay, reach, virality, encryption, or harm.",Claim checked — empirical source,"Selected public groups do not represent WhatsApp, private chats, or other jurisdictions.",CS-0195
CS-0157,CLM-0183,SRC-047,Context only / pending claim check,Primary anchor retained from legacy P4-068; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0157
CS-0192,CLM-0184,SRC-047,Supports,The experiments directly support the corrected immediate technique-recognition endpoint.,"Bounded to the techniques, populations, stimuli, and follow-up windows studied.",Claim checked — empirical source,"Does not support pluralism, reflective agency, election behaviour, or durable effects.",CS-0192
CS-0072,CLM-0186,SRC-048,Context only / pending claim check,Source supports P4-069 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0072; CS-0158
CS-0019,CLM-0188,SRC-006,Context only / pending claim check,Source supports P4-070 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0019
CS-0184,CLM-0188,SRC-049,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0184
CS-0073,CLM-0191,SRC-049,Supports,Source supports P4-071 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0073
CS-0074,CLM-0194,SRC-049,Supports,Source supports P4-072 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0074
CS-0185,CLM-0197,SRC-049,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0185
CS-0080,CLM-0197,SRC-050,Context only / pending claim check,Source supports P4-073 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0080
CS-0075,CLM-0200,SRC-049,Supports,Source supports P4-074 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0075
CS-0076,CLM-0203,SRC-049,Supports,Source supports P4-075 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0076
CS-0077,CLM-0206,SRC-049,Supports,Source supports P4-076 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0077
CS-0020,CLM-0209,SRC-006,Context only / pending claim check,Source supports P4-077 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0020
CS-0159,CLM-0209,SRC-087,Supports,Primary anchor retained from legacy P4-077; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0159
CS-0021,CLM-0212,SRC-006,Context only / pending claim check,Source supports P4-078 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0021
CS-0081,CLM-0215,SRC-051,Context only / pending claim check,Source supports P4-079 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0081
CS-0078,CLM-0218,SRC-049,Supports,Source supports P4-080 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0078
CS-0079,CLM-0221,SRC-049,Supports,Source supports P4-081 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0079
CS-0082,CLM-0224,SRC-052,Context only / pending claim check,Source supports P4-082 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0082
CS-0048,CLM-0227,SRC-025,Supports,Source supports P4-043 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0048
CS-0085,CLM-0230,SRC-054,Context only / pending claim check,Source supports P4-086 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0085
CS-0197,CLM-0232,SRC-117,Supports,Offline recommender experiments support bounded technical feasibility of performance-based minimisation with heterogeneous quality effects.,"No evidence on assistant memory, deletion completeness, intimate manipulation, dependency, or real-user outcomes.",Claim checked — empirical source,Average effects conceal heterogeneous user-level losses.,CS-0197
CS-0086,CLM-0233,SRC-054,Context only / pending claim check,Source supports P4-087 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0086
CS-0198,CLM-0235,SRC-118,Supports,The study directly observed receipt of relevant personal data in three of four exercises and no successful functional import or direct transfer across the four consumer IoT systems.,"Small 2019 IoT snapshot; no assistant-state portability, switching, redress, lock-in, or agency endpoint.",Claim checked — empirical source,Amazon returned data associated with another account in the fourth exercise. Negative implementation evidence is not proof that a new portability standard would be ineffective.,CS-0198
CS-0087,CLM-0237,SRC-055,Context only / pending claim check,Source supports P4-088 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0087
CS-0088,CLM-0239,SRC-056,Context only / pending claim check,Source supports P4-089 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0088
CS-0089,CLM-0242,SRC-057,Context only / pending claim check,Source supports P4-090 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0089
CS-0090,CLM-0246,SRC-058,Context only / pending claim check,Source supports P4-091 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0090; CS-0161
CS-0051,CLM-0248,SRC-025,Supports,Source supports P4-092 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0051
CS-0092,CLM-0252,SRC-060,Context only / pending claim check,Source supports P4-094 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0092; CS-0162
CS-0180,CLM-0254,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0180
CS-0016,CLM-0255,SRC-004,Supports,Source supports P4-095 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0016
CS-0163,CLM-0255,SRC-083,Context only / pending claim check,Primary anchor retained from legacy P4-095; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0163
CS-0164,CLM-0257,SRC-089,Supports,Primary anchor retained from legacy P4-096; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0164
CS-0093,CLM-0258,SRC-061,Context only / pending claim check,Source supports P4-096 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0093
CS-0095,CLM-0260,SRC-062,Context only / pending claim check,Source supports P4-097 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0095
CS-0199,CLM-0263,SRC-120,Supports,The official mandatory-scope and exemptions policy directly supports the corrected administrative mandate and scope claim.,"United Kingdom central-government policy only; applicability depends on organisation, tool lifecycle, and public effect or interaction; exemptions apply.",Claim checked — primary official policy source,Mandatory administrative policy is distinct from a general statutory obligation.,CS-0199
CS-0096,CLM-0264,SRC-063,Context only / pending claim check,Source supports P4-098 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0096; CS-0165
CS-0097,CLM-0267,SRC-064,Context only / pending claim check,Source supports P4-099 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0097
CS-0099,CLM-0270,SRC-065,Context only / pending claim check,Source supports P4-100 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0099
CS-0100,CLM-0273,SRC-066,Context only / pending claim check,Source supports P4-101 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0100; CS-0166
CS-0102,CLM-0275,SRC-067,Context only / pending claim check,Source supports P4-102 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0102
CS-0103,CLM-0278,SRC-068,Context only / pending claim check,Source supports P4-103 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0103; CS-0167
