relation_id,implementation_id,mechanism_id,relation,evidence_basis,claim_class,notes
IM-001,I-001,M-01,Mitigates / observes,Project — confirmatory mechanism,Established — project mechanism,Rule-based v0.3 mapping; review during publication freeze.
IM-054,I-013,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-055,I-013,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-056,I-013,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-057,I-013,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-058,I-014,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-059,I-014,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-060,I-015,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-061,I-015,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-062,I-015,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-063,I-016,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-064,I-016,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-065,I-016,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-066,I-016,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-067,I-016,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-068,I-017,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-069,I-017,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-070,I-017,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-071,I-017,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-072,I-018,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-073,I-018,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-074,I-018,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-075,I-018,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-076,I-019,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-077,I-019,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-078,I-019,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-079,I-019,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-080,I-019,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-081,I-020,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-082,I-020,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-083,I-020,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-084,I-020,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-085,I-021,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-086,I-021,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-087,I-021,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-088,I-022,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-089,I-022,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-090,I-023,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-091,I-023,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-092,I-023,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-093,I-024,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-094,I-024,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-095,I-025,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-096,I-025,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-097,I-025,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-098,I-026,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-099,I-026,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-100,I-026,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-101,I-026,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-102,I-027,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-103,I-027,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-104,I-027,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-105,I-027,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-106,I-028,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-107,I-028,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-108,I-028,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-109,I-028,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-110,I-029,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-111,I-029,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-112,I-029,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-113,I-029,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-114,I-029,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-115,I-030,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-116,I-030,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-117,I-030,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-118,I-031,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-119,I-031,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-120,I-031,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-121,I-031,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-122,I-031,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-123,I-032,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-124,I-032,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-125,I-032,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-126,I-033,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-127,I-033,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-128,I-033,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-129,I-033,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-130,I-033,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-131,I-034,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-132,I-034,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-133,I-034,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-134,I-034,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-135,I-035,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-136,I-035,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-137,I-035,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-138,I-036,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-139,I-036,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-140,I-036,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-141,I-037,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-142,I-037,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-143,I-038,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-144,I-038,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-145,I-038,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-146,I-038,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-147,I-038,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-148,I-039,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-149,I-039,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-150,I-039,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-151,I-039,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-152,I-039,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-153,I-040,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-154,I-040,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-155,I-040,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-156,I-040,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-157,I-040,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-158,I-041,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-159,I-041,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-160,I-041,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-161,I-041,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-162,I-042,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-163,I-042,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-164,I-042,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-165,I-042,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-166,I-042,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-167,I-043,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-168,I-043,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-169,I-043,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-170,I-043,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-171,I-043,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-172,I-044,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-173,I-044,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-174,I-044,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-175,I-044,M-15,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-176,I-044,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-177,I-045,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-178,I-045,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-179,I-045,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-180,I-045,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-181,I-046,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-182,I-046,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-183,I-046,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-184,I-046,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-185,I-047,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-186,I-047,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-187,I-047,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-188,I-047,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-189,I-047,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-190,I-048,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-191,I-048,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-192,I-048,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-193,I-048,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-194,I-049,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-195,I-049,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-196,I-049,M-11,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-197,I-049,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-198,I-049,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-199,I-050,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-200,I-050,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-201,I-050,M-11,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-202,I-050,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-203,I-050,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-204,I-051,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-205,I-051,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-206,I-051,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-207,I-051,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-208,I-051,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-209,I-052,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-210,I-052,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-211,I-052,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-212,I-052,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-213,I-052,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-214,I-053,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-215,I-053,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-216,I-053,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-217,I-053,M-09,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-218,I-053,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-219,I-054,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-220,I-054,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-221,I-054,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-222,I-054,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-223,I-054,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-224,I-055,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-225,I-055,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-226,I-055,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-227,I-055,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
