priority,model_id,name,family,release_date,release_date_source,access_class,total_params_b,size_disclosure,identity_tier,canonical_slug,inclusion_basis,openrouter_url,hugging_face_id,hugging_face_url,provider_tag,provider_name,endpoint_name,quantization,zdr_eligible,seed_supported,reasoning_effort_supported,compatibility_lane,reasoning_effort,input_usd_per_million,output_usd_per_million,expected_target_cost_usd_120,maximum_target_cost_usd_120,expected_auxiliary_cost_usd_per_target,conservative_start_forecast_usd,secondary_ape_status,legacy_project_evidence,recommended_action,protocol_id,expected_samples_per_model,samples_per_category,candidate_status,source_plan_url
11,z-ai/glm-4.5,Z.ai: GLM 4.5,GLM 4,2025-07-28,project-frontier-registry,open-weight,355.0,documented_total_parameters,original-weight-release-id,z-ai/glm-4.5,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/z-ai/glm-4.5,zai-org/GLM-4.5,https://huggingface.co/zai-org/GLM-4.5,z-ai/fp8,Z.AI,Z.AI | z-ai/glm-4.5,fp8,True,False,False,provider-unseeded,,0.6,2.2,0.1908,0.414336,0.1,0.5089,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
12,anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,anthropic,2025-08-05,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,explicit-provider-snapshot,anthropic/claude-4.1-opus-20250805,hosted-anthropic-frontier-release,https://openrouter.ai/anthropic/claude-opus-4.1,,,amazon-bedrock,Amazon Bedrock,Amazon Bedrock | anthropic/claude-4.1-opus-20250805,unknown,True,False,False,provider-unseeded,,15.0,75.0,5.85,12.816,0.1,10.4125,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
13,stepfun/step-3.5-flash,StepFun: Step 3.5 Flash,stepfun,2026-01-29,openrouter-model-created-at,open-weight,196.0,documented_total_parameters,original-weight-release-id,stepfun/step-3.5-flash,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/stepfun/step-3.5-flash,stepfun-ai/Step-3.5-Flash,https://huggingface.co/stepfun-ai/Step-3.5-Flash,siliconflow/fp8,SiliconFlow,SiliconFlow | stepfun/step-3.5-flash,fp8,True,False,False,provider-unseeded,,0.09999999999999999,0.3,0.0282,0.060863999999999994,0.1,0.22435,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
14,nvidia/nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super,nvidia,2026-03-11,openrouter-model-created-at,open-weight,120.0,documented_total_parameters,explicit-provider-snapshot,nvidia/nemotron-3-super-120b-a12b-20230311,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,deepinfra/bf16,DeepInfra,DeepInfra | nvidia/nemotron-3-super-120b-a12b-20230311,bf16,True,True,True,seeded,medium,0.08499999999999999,0.39999999999999997,0.031799999999999995,0.06955199999999999,0.1,0.23065,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
15,x-ai/grok-4.20,SpaceXAI: Grok 4.20,x-ai,2026-03-31,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,explicit-provider-snapshot,x-ai/grok-4.20-20260309,hosted-x-ai-frontier-release,https://openrouter.ai/x-ai/grok-4.20,,,xai/zdr,xAI,xAI | x-ai/grok-4.20-20260309,unknown,True,True,False,seeded,,1.25,2.5,0.285,0.6072,0.1,0.67375,eligible_no_exact_secondary_ape_in_frozen_ledger,exploratory_complete_120_nonconfirmatory,rerun_under_strict_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
16,nex-agi/nex-n2-pro,Nex AGI: Nex-N2-Pro,nex-agi,2026-06-08,openrouter-model-created-at,open-weight,397.0,documented_total_parameters,original-weight-release-id,nex-agi/nex-n2-pro,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/nex-agi/nex-n2-pro,nex-agi/Nex-N2-Pro,https://huggingface.co/nex-agi/Nex-N2-Pro,siliconflow,SiliconFlow,SiliconFlow | nex-agi/nex-n2-pro,unknown,True,False,False,provider-unseeded,,0.5,2.5,0.195,0.4272,0.1,0.51625,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
17,thinkingmachines/inkling,Thinking Machines: Inkling,thinkingmachines,2026-07-17,openrouter-model-created-at,open-weight,975.0,documented_total_parameters,explicit-provider-snapshot,thinkingmachines/inkling-20260715,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/thinkingmachines/inkling,thinkingmachines/Inkling,https://huggingface.co/thinkingmachines/Inkling,deepinfra/fp8,DeepInfra,DeepInfra | thinkingmachines/inkling-20260715,fp8,True,True,True,seeded,max,0.95,4.05,0.3327,0.725664,0.1,0.757225,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
18,meituan/longcat-2.0,Meituan: LongCat 2.0,meituan,2026-07-20,openrouter-model-created-at,open-weight,1600.0,documented_total_parameters,explicit-provider-snapshot,meituan/longcat-2.0-20260720,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/meituan/longcat-2.0,meituan-longcat/LongCat-2.0,https://huggingface.co/meituan-longcat/LongCat-2.0,atlas-cloud/fp8,AtlasCloud,AtlasCloud | meituan/longcat-2.0-20260720,fp8,False,True,False,seeded,,0.3,1.2,0.1008,0.219456,0.1,0.3514,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
19,openai/gpt-4,OpenAI: GPT-4,openai,2023-03-14,https://openai.com/index/gpt-4-research/,hosted,,undisclosed_or_not_bound_in_frozen_plan,named-release-route-frozen-snapshot-unresolved,openai/gpt-4,hosted-openai-frontier-release,https://openrouter.ai/openai/gpt-4,,,openai,OpenAI,OpenAI | openai/gpt-4,unknown,False,True,False,seeded,,30.0,60.0,6.84,14.5728,0.1,12.145,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
20,deepseek/deepseek-r1,DeepSeek: R1,DeepSeek R1,2025-01-20,project-frontier-registry,open-weight,671.0,documented_total_parameters,original-weight-release-id,deepseek/deepseek-r1,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/deepseek/deepseek-r1,deepseek-ai/DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,novita/fp8,Novita,Novita | deepseek/deepseek-r1,fp8,True,True,False,seeded,,0.7,2.5,0.219,0.4752,0.1,0.55825,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
21,minimax/minimax-m2.1,MiniMax: MiniMax M2.1,MiniMax M2,2025-12-23,project-frontier-registry,open-weight,230.0,documented_total_parameters,original-weight-release-id,minimax/minimax-m2.1,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/minimax/minimax-m2.1,MiniMaxAI/MiniMax-M2.1,https://huggingface.co/MiniMaxAI/MiniMax-M2.1,minimax/fp8,Minimax,Minimax | minimax/minimax-m2.1,fp8,True,False,False,provider-unseeded,,0.3,1.2,0.1008,0.219456,0.1,0.3514,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
22,qwen/qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507,qwen,2025-07-21,openrouter-model-created-at,open-weight,235.0,documented_total_parameters,original-weight-release-id,qwen/qwen3-235b-a22b-07-25,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/qwen/qwen3-235b-a22b-2507,Qwen/Qwen3-235B-A22B-Instruct-2507,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,novita/fp8,Novita,Novita | qwen/qwen3-235b-a22b-07-25,fp8,True,True,False,seeded,,0.09,0.58,0.04212,0.09287039999999999,0.1,0.24871,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
23,google/gemini-3-flash-preview,Google: Gemini 3 Flash Preview,google,2025-12-17,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,explicit-provider-snapshot,google/gemini-3-flash-preview-20251217,hosted-google-frontier-release,https://openrouter.ai/google/gemini-3-flash-preview,,,google-ai-studio/flex,Google AI Studio,Google AI Studio | google/gemini-3-flash-preview-20251217,unknown,False,True,True,seeded,high,0.25,1.5,0.111,0.24432,0.1,0.36925,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
24,moonshotai/kimi-k2-0905,MoonshotAI: Kimi K2 0905,Kimi K2,2025-09-04,project-frontier-registry,open-weight,1000.0,documented_total_parameters,original-weight-release-id,moonshotai/kimi-k2-0905,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/Kimi-K2-Instruct-0905,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905,novita/fp8,Novita,Novita | moonshotai/kimi-k2-0905,fp8,True,True,False,seeded,,0.6,2.5,0.207,0.4512,0.1,0.53725,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
25,z-ai/glm-4.5v,Z.ai: GLM 4.5V,z-ai,2025-08-11,openrouter-model-created-at,open-weight,106.0,documented_total_parameters,original-weight-release-id,z-ai/glm-4.5v,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/z-ai/glm-4.5v,zai-org/GLM-4.5V,https://huggingface.co/zai-org/GLM-4.5V,novita/fp8,Novita,Novita | z-ai/glm-4.5v,fp8,True,True,False,seeded,,0.6,1.7999999999999998,0.1692,0.365184,0.1,0.4711,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
26,anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,anthropic,2025-09-29,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,explicit-provider-snapshot,anthropic/claude-4.5-sonnet-20250929,hosted-anthropic-frontier-release,https://openrouter.ai/anthropic/claude-sonnet-4.5,,,amazon-bedrock,Amazon Bedrock,Amazon Bedrock | anthropic/claude-4.5-sonnet-20250929,unknown,True,False,False,provider-unseeded,,3.0,15.0,1.17,2.5632,0.1,2.2225,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
27,nvidia/nemotron-3-ultra-550b-a55b,NVIDIA: Nemotron 3 Ultra,nvidia,2026-06-04,openrouter-model-created-at,open-weight,550.0,documented_total_parameters,explicit-provider-snapshot,nvidia/nemotron-3-ultra-550b-a55b-20260604,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/nvidia/nemotron-3-ultra-550b-a55b,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,venice/fp8,Venice,Venice | nvidia/nemotron-3-ultra-550b-a55b-20260604,fp8,True,False,True,provider-unseeded,high,0.625,3.125,0.24375,0.534,0.1,0.6015625,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
28,x-ai/grok-4.3,SpaceXAI: Grok 4.3,x-ai,2026-04-30,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,explicit-provider-snapshot,x-ai/grok-4.3-20260430,hosted-x-ai-frontier-release,https://openrouter.ai/x-ai/grok-4.3,,,xai/zdr,xAI,xAI | x-ai/grok-4.3-20260430,unknown,True,True,True,seeded,high,1.25,2.5,0.285,0.6072,0.1,0.67375,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
29,thinkingmachines/inkling-small,Thinking Machines: Inkling Small,thinkingmachines,2026-07-30,openrouter-model-created-at,open-weight,276.0,documented_total_parameters,explicit-provider-snapshot,thinkingmachines/inkling-small-20260730,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/thinkingmachines/inkling-small,thinkingmachines/Inkling-Small,https://huggingface.co/thinkingmachines/Inkling-Small,deepinfra/fp8,DeepInfra,DeepInfra | thinkingmachines/inkling-small-20260730,fp8,True,True,True,seeded,max,0.44999999999999996,1.2,0.1188,0.25545599999999996,0.1,0.3829,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
30,openai/gpt-4-turbo,OpenAI: GPT-4 Turbo,openai,2023-11-06,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,hosted,,undisclosed_or_not_bound_in_frozen_plan,named-release-route-frozen-snapshot-unresolved,openai/gpt-4-turbo,hosted-openai-frontier-release,https://openrouter.ai/openai/gpt-4-turbo,,,openai,OpenAI,OpenAI | openai/gpt-4-turbo,unknown,False,True,False,seeded,,10.0,30.0,2.82,6.0864,0.1,5.11,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
31,deepseek/deepseek-r1-0528,DeepSeek: R1 0528,DeepSeek R1,2025-05-28,project-frontier-registry,open-weight,671.0,documented_total_parameters,original-weight-release-id,deepseek/deepseek-r1-0528,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/deepseek/deepseek-r1-0528,deepseek-ai/DeepSeek-R1-0528,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,siliconflow/fp8,SiliconFlow,SiliconFlow | deepseek/deepseek-r1-0528,fp8,True,False,False,provider-unseeded,,0.5,2.1799999999999997,0.17772,0.38787839999999996,0.1,0.48601,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
32,minimax/minimax-m3,MiniMax: MiniMax M3,MiniMax M3,2026-05-31,project-frontier-registry,open-weight,428.0,documented_total_parameters,explicit-provider-snapshot,minimax/minimax-m3-20260531,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/minimax/minimax-m3,MiniMaxAI/Minimax-M3,https://huggingface.co/MiniMaxAI/Minimax-M3,deepinfra/fp8,DeepInfra,DeepInfra | minimax/minimax-m3-20260531,fp8,True,True,False,seeded,,0.28,1.1,0.093,0.202368,0.1,0.33775,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
