source_id,title,institution_author,publication_date,source_class,jurisdiction,provenance,direct_url,verification_level,last_checked,notes
SRC-014,Taking Additional Steps To Address the National Emergency With Respect to Significant Malicious Cyber-Enabled Activities,Institution / authors to verify,2024-01-29,Primary law / regulator,international recommendation; US IaaS proposal provides precedent,Primary / original,https://www.federalregister.gov/documents/2024/01/29/2024-01580/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,URL recorded — recheck before citation,2026-08-11,
SRC-015,Commission Guidelines on Prohibited Artificial Intelligence Practices,European Commission / EU,2025-02-04,Official guidance / institution,EU,Primary / original,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act,URL recorded — recheck before citation,2026-08-11,
SRC-016,Code of Practice on Transparency of AI-Generated Content,European Commission / EU,2026-07-31,Official guidance / institution,EU and China,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,URL recorded — recheck before citation,2026-08-11,
SRC-017,AISI Research Agenda – Human Influence,UK Government / regulator,2025,Official guidance / institution,international recommendation,Primary / original,https://www.aisi.gov.uk/research-agenda,URL recorded — recheck before citation,2026-08-11,
SRC-018,ISO/IEC 42001:2023 – AI Management Systems,Institution / authors to verify,2023-12,Standard / framework,international recommendation,Primary / original,https://www.iso.org/standard/42001,URL recorded — recheck before citation,2026-08-11,
SRC-019,HUDERIA – Risk and Impact Assessment of AI Systems,Council of Europe,2024-12-02,Official guidance / institution,Council of Europe parties and EU,Primary / original,https://www.coe.int/en/web/artificial-intelligence/huderia-risk-and-impact-assessment-of-ai-systems,Claim checked — primary legal source,2026-08-11,
SRC-020,OECD Launches Global Framework to Monitor Application of G7 Hiroshima AI Code of Conduct,OECD,2025-02-07,Official guidance / institution,international,Primary / original,https://www.oecd.org/en/about/news/press-releases/2025/02/oecd-launches-global-framework-to-monitor-application-of-g7-hiroshima-ai-code-of-conduct.html,URL recorded — recheck before citation,2026-08-11,
SRC-021,Interim Measures for the Management of Generative Artificial Intelligence Services,Institution / authors to verify,2023-07-13,Policy / research analysis,China,Secondary / analysis,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,URL recorded — recheck before citation,2026-08-11,
SRC-022,FTC Staff Report on AI Partnerships and Investments,Institution / authors to verify,2025-01-17,Policy / research analysis,"United States, EU and allied jurisdictions",Secondary / analysis,https://www.ftc.gov/reports/ftc-staff-report-ai-partnerships-investments-6b-study,URL recorded — recheck before citation,2026-08-11,
SRC-023,Competition in Generative AI and Virtual Worlds – Policy Brief 3/2024,Institution / authors to verify,2024-09-18,Standard / framework,EU and international recommendation,Primary / original,https://competition-policy.ec.europa.eu/document/download/c86d461f-062e-4dde-a662-15228d6ca385_en,URL recorded — recheck before citation,2026-08-11,
SRC-024,Announcing Inspect Evals,UK Government / regulator,2024-11-13,Official guidance / institution,international,Primary / original,https://www.aisi.gov.uk/blog/inspect-evals,URL recorded — recheck before citation,2026-08-11,
SRC-025,"Regulation (EU) 2022/2065, Digital Services Act",European Union,2022-10-19,Primary law / regulator,European Union,Primary / original,https://eur-lex.europa.eu/eli/reg/2022/2065/oj/eng,Claim checked — primary legal source,2026-08-11,
SRC-026,Digital Services Act: Questions and Answers,European Commission / EU,2025-12-19 update,Official guidance / institution,European Union,Primary / original,https://digital-strategy.ec.europa.eu/en/faqs/digital-services-act-questions-and-answers,URL recorded — recheck before citation,2026-08-11,
SRC-027,Delegated act on data access under the Digital Services Act,European Commission / EU,2025-07-02,Official guidance / institution,European Union,Primary / original,https://digital-strategy.ec.europa.eu/en/library/delegated-act-data-access-under-digital-services-act-dsa,URL recorded — recheck before citation,2026-08-11,
SRC-028,Codes of conduct under the Digital Services Act,European Commission / EU,2026-07-02 update,Official guidance / institution,European Union,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/dsa-codes-conduct,URL recorded — recheck before citation,2026-08-11,
SRC-029,Commission presents new best-practice election toolkit on the Digital Services Act,European Commission / EU,2025-02-20,Official guidance / institution,"EU and partner countries, including Moldova",Primary / original,https://digital-strategy.ec.europa.eu/en/news/commission-presents-new-best-practice-election-toolkit-digital-services-act,URL recorded — recheck before citation,2026-08-11,
SRC-030,Regulation (EU) 2024/900 on transparency and targeting of political advertising,European Union,2024-03-13; applicable 2025-10-10,Primary law / regulator,European Union,Primary / original,https://eur-lex.europa.eu/eli/reg/2024/900/oj/eng,Claim checked — primary legal source,2026-08-11,Merged 2 legacy source rows: S-030
SRC-031,New EU rules on political advertising come into effect,European Commission / EU,2025-10-10,Official guidance / institution,European Union,Primary / original,https://commission.europa.eu/news-and-media/news/new-eu-rules-political-advertising-come-effect-2025-10-10_en,URL recorded — recheck before citation,2026-08-11,
SRC-032,The 2022 Code of Practice on Disinformation and its integration as a DSA Code of Conduct,European Commission / EU,2025-02-13 integration; updated 2026-07-02,Official guidance / institution,European Union,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/code-practice-disinformation,URL recorded — recheck before citation,2026-08-11,
SRC-033,EDMO's assessment of the Rapid Response System of the Code of Practice on Disinformation,Institution / authors to verify,2024-10-02,Policy / research analysis,European Union and election-specific deployments,Secondary / analysis,https://edmo.eu/publications/edmos-assessment-of-the-rapid-response-system-of-the-code-of-practice-on-disinformation/,URL recorded — recheck before citation,2026-08-11,
SRC-034,European Centre for Democratic Resilience,European Commission / EU,2026-02-24,Official guidance / institution,European Union and participating candidate countries,Primary / original,https://commission.europa.eu/european-centre-democratic-resilience_en,URL recorded — recheck before citation,2026-08-11,
SRC-035,Statutory guidance on digital imprints,Institution / authors to verify,2026-01-20 update,Policy / research analysis,United Kingdom,Secondary / analysis,https://www.electoralcommission.org.uk/full-guidance/statutory-guidance-digital-imprints,URL recorded — recheck before citation,2026-08-11,
SRC-036,Online Safety Act 2023,UK Government / regulator,2023-10-26; illegal-content duties effective 2025-03-17,Official guidance / institution,United Kingdom,Primary / original,https://www.legislation.gov.uk/ukpga/2023/50/contents,URL recorded — recheck before citation,2026-08-11,
SRC-037,Electoral Commission launches deepfake detection pilot to counter AI misinformation,Institution / authors to verify,2026-04-15,Policy / research analysis,Great Britain,Secondary / analysis,https://www.electoralcommission.org.uk/media-centre/electoral-commission-launches-deepfake-detection-pilot-counter-ai-misinformation,URL recorded — recheck before citation,2026-08-11,
SRC-038,"Electoral Commission response on social media, misinformation and harmful algorithms",Institution / authors to verify,2025-01-28,Policy / research analysis,United Kingdom,Secondary / analysis,https://www.electoralcommission.org.uk/news-and-views/our-responses-consultations/response-science-innovation-and-technology-committee-call-evidence-social-media-misinformation-and,URL recorded — recheck before citation,2026-08-11,
SRC-039,FCC Makes AI-Generated Voices in Robocalls Illegal,Federal Communications Commission,2024-02-08,Primary law / regulator,United States,Primary / original,https://www.fcc.gov/document/fcc-makes-ai-generated-voices-robocalls-illegal,URL recorded — recheck before citation,2026-08-11,
SRC-040,FEC Notification of Disposition and Interpretive Rule on artificial intelligence in campaign ads,Institution / authors to verify,2024-09-27,Policy / research analysis,United States federal elections,Secondary / analysis,https://www.fec.gov/updates/commission-approves-notification-of-disposition-interpretive-rule-on-artificial-intelligence-in-campaign-ads/,URL recorded — recheck before citation,2026-08-11,
SRC-041,FCC Proposes Disclosure for AI-Generated Content in Political Ads,Federal Communications Commission,2024-07-25,Primary law / regulator,United States,Primary / original,https://www.fcc.gov/document/fcc-proposes-disclosure-ai-generated-content-political-ads,URL recorded — recheck before citation,2026-08-11,
SRC-042,Kohls v. Bonta: Order and Final Judgment and Permanent Injunction as to AB 2655,Institution / authors to verify,2025-08-20,Policy / research analysis,"California, United States",Secondary / analysis,https://docs.justia.com/cases/federal/district-courts/california/caedce/2%3A2024cv02527/453046/98,URL recorded — recheck before citation,2026-08-11,
SRC-043,C2PA Technical Specification 2.2,Institution / authors to verify,2025-05,Standard / framework,"Global, voluntary technical ecosystem",Primary / original,https://spec.c2pa.org/specifications/specifications/2.4/specs/C2PA_Specification.html,URL recorded — recheck before citation,2026-08-11,
SRC-044,Guidelines for the Governance of Digital Platforms,Institution / authors to verify,2023,Official guidance / institution,International,Primary / original,https://www.unesco.org/en/internet-trust/guidelines,URL recorded — recheck before citation,2026-08-11,
SRC-045,Code of Conduct for the 2024 European Parliament Elections,International IDEA,2024-04-09,Official guidance / institution,European and adaptable globally,Primary / original,https://www.idea.int/european-code-of-conduct-2024,URL recorded — recheck before citation,2026-08-11,
SRC-046,WhatsApp: About forwarding limits,Institution / authors to verify,Undated; current as of 2026-08-11,Policy / research analysis,Global,Secondary / analysis,https://faq.whatsapp.com/1053543185312573,URL recorded — recheck before citation,2026-08-11,
SRC-047,Psychological inoculation improves resilience against misinformation on social media,Authors — citation metadata to verify,2022-08-24,Peer-reviewed research,Cross-national relevance,Primary / original,https://www.science.org/doi/10.1126/sciadv.abo6254,URL recorded — recheck before citation,2026-08-11,
SRC-048,How Meta Is Preparing for the 2026 US Midterm Elections,Institution / authors to verify,2026-02-19; updated 2026-06-01,Provider framework / policy,Global disclosure policy with election-specific variations; final-week freeze used in the United States,Primary / original,https://about.fb.com/news/2026/02/meta-prepares-for-2026-us-midterms/,URL recorded — recheck before citation,2026-08-11,
SRC-049,Consolidated TSE Resolution 23.610 on electoral propaganda,Tribunal Superior Eleitoral,2019-12-18; Article 9-C added 2024-02-27 and applicable in 2026,Primary law / regulator,Brazil,Primary / original,https://www.tse.jus.br/legislacao/compilada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019,Claim checked — primary legal source,2026-08-11,Merged 2 legacy source rows: S-049
SRC-050,TSE: Rules on the use of AI in the 2026 election campaign,Tribunal Superior Eleitoral,2026-04-10; updated 2026-07-08,Primary law / regulator,Brazil,Primary / original,https://www.tse.jus.br/comunicacao/noticias/2026/Abril/por-dentro-das-eleicoes-conheca-as-regras-sobre-uso-de-ia-na-campanha-eleitoral-de-2026,URL recorded — recheck before citation,2026-08-11,
SRC-051,TSE Sistema de Alertas de Desinformação Eleitoral (SIADE),Tribunal Superior Eleitoral,Operational in 2026; accessed 2026-08-11,Primary law / regulator,Brazil,Primary / original,https://www.tse.jus.br/eleicoes/sistema-de-alertas,URL recorded — recheck before citation,2026-08-11,
SRC-052,"Regulation EU 2024/1689, Article 5",European Union,2024-06-13,Primary law / regulator,EU/EEA,Primary / original,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,URL recorded — recheck before citation,2026-08-11,
SRC-053,Digital Services Act election-risk guidelines,European Commission / EU,2024-03-26,Official guidance / institution,EU/EEA,Primary / original,https://digital-strategy.ec.europa.eu/en/news/commission-publishes-guidelines-under-dsa-mitigation-systemic-risks-online-elections,URL recorded — recheck before citation,2026-08-11,
SRC-054,"Regulation EU 2016/679, GDPR",European Union,2016-04-27,Primary law / regulator,EU/EEA,Primary / original,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,URL recorded — recheck before citation,2026-08-11,
SRC-055,Alphabet specification proceedings: interoperability for AI services,Institution / authors to verify,2026-07-16,Policy / research analysis,EU/EEA; Google Android,Secondary / analysis,https://digital-markets-act.ec.europa.eu/developer-portal/interoperability/alphabet-specification-proceedings-interoperability-ai-services_en,URL recorded — recheck before citation,2026-08-11,
SRC-056,"Regulation EU 2023/2854, Data Act",European Union,2023-12-13,Primary law / regulator,EU/EEA,Primary / original,https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng,URL recorded — recheck before citation,2026-08-11,
SRC-057,"Regulation EU 2024/1689, Article 27",European Commission / EU,2024-06-13,Primary law / regulator,EU/EEA,Primary / original,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-27,URL recorded — recheck before citation,2026-08-11,
SRC-058,AI Act complaints tool and Article 85,European Commission / EU,2026-07-31,Official guidance / institution,EU/EEA,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/ai-act-complaints-tool,URL recorded — recheck before citation,2026-08-11,
SRC-059,FAQs on DSA data access for researchers,Institution / authors to verify,2025-07-03,Policy / research analysis,EU/EEA,Secondary / analysis,https://algorithmic-transparency.ec.europa.eu/news/faqs-dsa-data-access-researchers-2025-07-03_en,URL recorded — recheck before citation,2026-08-11,
SRC-060,How the DSA enhances transparency online,European Commission / EU,Undated; accessed 2026-08-11,Official guidance / institution,EU/EEA,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/dsa-brings-transparency,URL recorded — recheck before citation,2026-08-11,
SRC-061,"Framework Convention on Artificial Intelligence, CETS 225",Council of Europe,2024-09-05,Official guidance / institution,Council of Europe parties and other ratifying states,Primary / original,https://rm.coe.int/1680afae3c,URL recorded — recheck before citation,2026-08-11,
SRC-062,"Regulation EU 2024/1083, European Media Freedom Act",European Union,2024-04-11,Primary law / regulator,EU/EEA,Primary / original,https://eur-lex.europa.eu/eli/reg/2024/1083/oj/eng,URL recorded — recheck before citation,2026-08-11,
SRC-063,Artificial Intelligence Playbook for the UK Government,UK Government / regulator,2025-02-10,Official guidance / institution,United Kingdom,Primary / original,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html,URL recorded — recheck before citation,2026-08-11,
SRC-064,Directive on Automated Decision-Making,Institution / authors to verify,2025-06-24,Policy / research analysis,Canada,Secondary / analysis,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,URL recorded — recheck before citation,2026-08-11,
SRC-065,Updated EU AI model contractual clauses,Institution / authors to verify,2025-03-05,Policy / research analysis,EU; adaptable elsewhere,Secondary / analysis,https://public-buyers-community.ec.europa.eu/communities/procurement-ai/resources/updated-eu-ai-model-contractual-clauses,URL recorded — recheck before citation,2026-08-11,
SRC-066,HUDERIA Methodology,Council of Europe,2024-11-28,Official guidance / institution,International,Primary / original,https://rm.coe.int/cai-2024-16rev2-methodology-for-the-risk-and-impact-assessment-of-arti/1680b2a09f,URL recorded — recheck before citation,2026-08-11,
SRC-067,About the European Centre for Algorithmic Transparency,Institution / authors to verify,Undated; accessed 2026-08-11,Policy / research analysis,EU,Secondary / analysis,https://algorithmic-transparency.ec.europa.eu/about_en,URL recorded — recheck before citation,2026-08-11,
SRC-068,Joint statement on competition in generative AI foundation models and AI products,UK Government / regulator,2024-07-23,Official guidance / institution,UK with joint EU-US relevance,Primary / original,https://www.gov.uk/government/publications/joint-statement-on-competition-in-generative-ai-foundation-models-and-ai-products/joint-statement-on-competition-in-generative-ai-foundation-models-and-ai-products,URL recorded — recheck before citation,2026-08-11,
SRC-069,European Commission review of EU consumer law and Digital Fairness Act,European Commission / EU,Updated 2026,Official guidance / institution,EU/EEA,Primary / original,https://commission.europa.eu/law/law-topic/consumer-protection-law/review-eu-consumer-law_en,URL recorded — recheck before citation,2026-08-11,
SRC-070,DMA Review Q&A,Institution / authors to verify,2026-04-28,Policy / research analysis,EU/EEA,Secondary / analysis,https://digital-markets-act.ec.europa.eu/about-dma/dma-review-qa_en,URL recorded — recheck before citation,2026-08-11,
SRC-071,Who Does Your AI Work For? Designing Conversational Agents as Digital Fiduciaries,Authors — citation metadata to verify,2026-05-27,Preprint / working paper,Novel; adaptable internationally,Primary / original,https://arxiv.org/html/2605.28908v1,URL recorded — recheck before citation,2026-08-11,
SRC-072,Digital Government Outlook 2026: adopting and governing AI in government,OECD,2026-06-15,Official guidance / institution,Novel; especially EU member states,Primary / original,https://www.oecd.org/en/publications/digital-government-outlook_0496b2bc-en/full-report/adopting-and-governing-ai-in-government_7ef312a9.html,URL recorded — recheck before citation,2026-08-11,
SRC-073,OECD Artificial Intelligence Markets,OECD,2026-07-10,Official guidance / institution,Novel; international coordination desirable,Primary / original,https://www.oecd.org/en/publications/artificial-intelligence-markets_d531d73f-en/full-report.html,URL recorded — recheck before citation,2026-08-11,Merged 2 legacy source rows: S-073; S-104
SRC-074,How public AI can strengthen democracy,Institution / authors to verify,2024-03-04,Policy / research analysis,Novel; national or European,Secondary / analysis,https://www.brookings.edu/articles/how-public-ai-can-strengthen-democracy/,URL recorded — recheck before citation,2026-08-11,
SRC-075,DSA Data Access Portal and Article 40 regime,Institution / authors to verify,Operational in 2025-2026,Policy / research analysis,Novel,Secondary / analysis,https://data-access.dsa.ec.europa.eu/home,URL recorded — recheck before citation,2026-08-11,
SRC-076,Guide on Article 9 of the European Convention on Human Rights,Council of Europe,Current 2026,Official guidance / institution,Council of Europe parties,Primary / original,https://ks.echr.coe.int/documents/d/echr-ks/guide_art_9_eng,URL recorded — recheck before citation,2026-08-11,
SRC-077,Shifting attention to accuracy can reduce misinformation sharing online,Nature / Pennycook et al.,2021-03-17,Peer-reviewed research,Cross-national relevance,Primary / original,https://www.nature.com/articles/s41586-021-03344-2,URL recorded — recheck before citation,2026-08-11,
SRC-078,Election misinformation interventions in the United States and Brazil,Science Advances,2025,Peer-reviewed research,United States and Brazil,Primary / original,https://www.science.org/doi/10.1126/sciadv.adv3758,URL recorded — recheck before citation,2026-08-11,
SRC-079,Reranking social media feeds and political attitudes,Science,2025,Peer-reviewed research,Platform context,Primary / original,https://www.science.org/doi/10.1126/science.adu5584,URL recorded — recheck before citation,2026-08-11,
SRC-080,International AI Safety Report 2026,International AI Safety Report,2026,Policy / research analysis,International,Secondary / analysis,https://internationalaisafetyreport.org/publication/international-ai-safety-report-2026,URL recorded — recheck before citation,2026-08-11,
SRC-081,Freedom of Thought in the Age of Artificial Intelligence,OSCE/ODIHR,2025-10-03,Policy / research analysis,OSCE region / international,Secondary / analysis,https://odihr.osce.org/odihr/597450,URL recorded — recheck before citation,2026-08-11,
SRC-082,Artificial Intelligence in Electoral Management,International IDEA,2024,Official guidance / institution,International,Primary / original,https://www.idea.int/publications/catalogue/artificial-intelligence-electoral-management,URL recorded — recheck before citation,2026-08-11,
SRC-083,Guidelines for general-purpose AI model providers,European Commission / EU,2026-08,Official guidance / institution,EU/EEA,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,URL recorded — recheck before citation,2026-08-11,
SRC-084,"AI Act Annex III, point 8(b)",European Commission / EU,2024; current 2026,Primary law / regulator,EU/EEA,Primary / original,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-3,URL recorded — recheck before citation,2026-08-11,
SRC-085,AI Act Article 51 — GPAI systemic-risk classification,European Commission / EU,2024; current 2026,Primary law / regulator,EU/EEA,Primary / original,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-51,URL recorded — recheck before citation,2026-08-11,
SRC-086,Code of Conduct on Disinformation,European Commission / EU,2025-02-13; reports 2026-03-24,Official guidance / institution,EU/EEA,Primary / original,https://digital-strategy.ec.europa.eu/en/library/code-conduct-disinformation,URL recorded — recheck before citation,2026-08-11,
SRC-087,Portaria TSE No. 463 of 27 July 2026,Tribunal Superior Eleitoral,2026-07-27,Primary law / regulator,Brazil,Primary / original,https://www.tse.jus.br/legislacao/compilada/prt/2026/portaria-no-463-de-27-de-julho-de-2026,Claim checked — primary legal source,2026-08-11,Merged 2 legacy source rows: S-087
SRC-088,Platforms must submit 2026 electoral compliance plans by 16 August,Tribunal Superior Eleitoral,2026-07,Primary law / regulator,Brazil,Primary / original,https://www.tse.jus.br/comunicacao/noticias/2026/Julho/plataformas-tem-ate-16-de-agosto-para-apresentar-planos-de-conformidade-eleitoral-nas-campanhas-pela-internet,URL recorded — recheck before citation,2026-08-11,
SRC-089,CETS 225 signatures and ratifications,Council of Europe,Current 2026-08-11,Primary law / regulator,Council of Europe system,Primary / original,https://www.coe.int/en/web/Conventions/full-list/?module=signatures-by-treaty&treatynum=225,Claim checked — primary legal source,2026-08-11,
SRC-090,European Union ratifies the Framework Convention on AI,Council of Europe,2026-05-15,Official guidance / institution,EU / Council of Europe,Primary / original,https://www.coe.int/en/web/artificial-intelligence/-/european-union-ratifies-the-council-of-europe-framework-convention-on-artificial-intelligence,URL recorded — recheck before citation,2026-08-11,
SRC-091,AI chatbots and online regulation: coverage under the Online Safety Act,Ofcom,Current 2026,Official guidance / institution,United Kingdom,Primary / original,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/ai-chatbots-and-online-regulation-what-you-need-to-know,URL recorded — recheck before citation,2026-08-11,
SRC-092,New York AI companion chatbot safeguards,Governor of New York,2025-05,Policy / research analysis,"New York, United States",Secondary / analysis,https://www.governor.ny.gov/news/governor-hochul-signs-legislation-expanding-historic-empire-ai-consortium-and-establishing,URL recorded — recheck before citation,2026-08-11,
SRC-093,On conversational persuasiveness of GPT-4,"Salvi et al., Nature Human Behaviour",2025,Peer-reviewed research,United States,Primary / original,https://www.nature.com/articles/s41562-025-02194-6,Claim checked — empirical source,2026-08-11,
SRC-094,Durably reducing conspiracy beliefs through dialogues with AI,"Costello et al., Science",2024,Peer-reviewed research,United States,Primary / original,https://www.science.org/doi/10.1126/science.adq1814,URL recorded — recheck before citation,2026-08-11,
SRC-095,Political persuasion across LLMs and countries,"Hackenburg et al., Science",2025,Peer-reviewed research,International,Primary / original,https://www.science.org/doi/10.1126/science.aea3884,Claim checked — empirical source,2026-08-11,
SRC-096,Measuring manipulative behaviour and effects across domains,Akbulut et al.,2026-03,Preprint / working paper,Multi-country,Primary / original,https://arxiv.org/abs/2603.25326,URL recorded — recheck before citation,2026-08-11,
SRC-097,Hidden objectives in LLM recommendations,Sabour et al.,2025-02,Preprint / working paper,International / simulated decisions,Primary / original,https://arxiv.org/abs/2502.07663,URL recorded — recheck before citation,2026-08-11,
SRC-098,Memory profiles and sycophancy in language models,Jain et al.,2026,Preprint / working paper,Model-level / international,Primary / original,https://arxiv.org/pdf/2509.12517,URL recorded — recheck before citation,2026-08-11,
SRC-099,Sycophantic AI decreases willingness to repair interpersonal conflict,"Cheng et al., Science",2026,Peer-reviewed research,International relevance,Primary / original,https://www.science.org/doi/10.1126/science.aec8352,URL recorded — recheck before citation,2026-08-11,
SRC-100,How AI and human behaviours shape psychosocial effects of chatbot use,Fang et al. / OpenAI–MIT,2025-03,Preprint / working paper,International / consumer chatbot use,Primary / original,https://arxiv.org/abs/2503.17473,URL recorded — recheck before citation,2026-08-11,
SRC-101,Assisted performance and post-assistance persistence,Lee et al.,2026-04,Preprint / working paper,Task settings,Primary / original,https://arxiv.org/html/2604.04721v2,URL recorded — recheck before citation,2026-08-11,
SRC-102,Auditing assistant loyalty under sponsorship and platform incentives,Wu et al.,2026-04,Preprint / working paper,International / product recommendations,Primary / original,https://arxiv.org/abs/2604.08525,URL recorded — recheck before citation,2026-08-11,
SRC-103,Google AI Overviews and the redistribution of search traffic,Agarwal and Sen,2026,Policy / research analysis,Search ecosystem,Secondary / analysis,https://www.tse-fr.eu/sites/default/files/TSE/documents/sem2026/eco_platforms/agarwal_google_search_aio.pdf,URL recorded — recheck before citation,2026-08-11,
SRC-104,AI labels do not consistently reduce persuasion,"Gallegos et al., PNAS Nexus",2026,Peer-reviewed research,United States / international relevance,Primary / original,https://academic.oup.com/pnasnexus/article/5/2/pgag008/8465366,URL recorded — recheck before citation,2026-08-11,
SRC-105,To trust or to think: cognitive forcing functions reduce overreliance,Buçinca et al.,2021,Peer-reviewed research,Decision-support settings,Primary / original,https://www.eecs.harvard.edu/~kgajos/papers/2021/bucinca21trust.pdf,URL recorded — recheck before citation,2026-08-11,
SRC-106,Guidelines on prohibited AI practices under Article 5,European Commission / EU,2025,Primary law / regulator,EU/EEA,Primary / original,https://ai-act-service-desk.ec.europa.eu/sites/default/files/2025-08/guidelines_on_prohibited_artificial_intelligence_practices_established_by_regulation_eu_20241689_ai_act_english_ied3r5nwo50xggpcfmwckm3nuc_112367-1.PDF,URL recorded — recheck before citation,2026-08-11,
SRC-107,Frontier Safety Framework 3.1,Google DeepMind,2026,Provider framework / policy,International,Primary / original,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3-1.pdf,URL recorded — recheck before citation,2026-08-11,
SRC-108,Security analysis of C2PA content provenance,Independent researchers,2026-04,Preprint / working paper,International,Primary / original,https://arxiv.org/abs/2604.24890,URL recorded — recheck before citation,2026-08-11,
SRC-109,Continued influence under deepfake warning labels,Nature portfolio authors,2025,Peer-reviewed research,International relevance,Primary / original,https://www.nature.com/articles/s44271-025-00381-9,URL recorded — recheck before citation,2026-08-11,
