claim_id,atomic_claim,claim_type,evidence_origin,endpoint,epistemic_status,directness,claim_status,as_of_date,notes
CLM-0019,"As of 2026-08-11, Harmful manipulation as a specified systemic-risk domain is coded Voluntary / private / Operational voluntary. Scope: implemented through AI Act compliance practice",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0020,"Harmful manipulation as a specified systemic-risk domain targets Require identification and assessment of persuasion, deception and personalised targeting in multi-turn, high-stakes contexts at persuasive capability → provider or malicious user → personalised dialogue → voter or decision-maker → covert belief or behaviour change → agency transfer → democratic harm; expected agency domain: Epistemic; Evaluative; Decisional; Collective / institutional.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0021,Indirect / mixed. Expected effect if the control works: Makes manipulation a first-class frontier risk rather than treating it only as misinformation or content safety,Control effectiveness,Normative proposal,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0022,"APE-style harmful-persuasion propensity diagnostic — not a release gate targets Test whether a model attempts persuasion on harmful and election-relevant objectives across direct, indirect and multi-turn prompts at instruction following → campaign or influence actor → generated persuasive dialogue → voter → attempted preference shaping → agency transfer; expected agency domain: Evaluative; Decisional; Collective / institutional.",Mechanism,External empirical,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0023,None — mechanism or proposal only. Expected effect if the control works: Detects willingness to persuade where generic harmful-content benchmarks and direct-request refusal tests miss risk,Control effectiveness,External empirical,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0024,"As of 2026-08-11, Context-specific manipulation efficacy evaluation is coded Voluntary / private / Operational voluntary. Scope: implemented by Google DeepMind; recommended as common requirement",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0025,Context-specific manipulation efficacy evaluation targets Measure both manipulative tactics and actual belief or behaviour change in controlled high-stakes interactions across locales at manipulative capability → provider or operator → contextual dialogue → person → belief or behavioural change → loss of reflective agency; expected agency domain: Epistemic; Evaluative.,Mechanism,Normative proposal,Human persistence / low-cost behavior,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0026,None — mechanism or proposal only. Expected effect if the control works: Separates propensity from efficacy and tests process and outcome harms in contexts where manipulation may actually work,Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0027,"MASK-style honesty and pressured-deception diagnostic — not a manipulation gate targets Test whether a model knowingly contradicts its represented beliefs when instructed, incentivised or pressured to deceive at deceptive propensity → model or agent controller → trusted answer or recommendation → user or official → false belief under asymmetric trust → agency transfer; expected agency domain: Epistemic; Decisional; Executive; Relational.",Mechanism,External empirical,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0028,None — mechanism or proposal only. Expected effect if the control works: Adds intentional or pressure-induced deception to manipulation evaluation instead of conflating honesty with factual accuracy,Control effectiveness,External empirical,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0029,"As of 2026-08-11, Adaptive jailbreak, fine-tuning and abliteration robustness testing is coded Mixed / Applicable. Scope: Article 55 duties bind systemic-risk GPAI providers; NIST/Code testing methods remain voluntary compliance choices.",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0030,"Adaptive jailbreak, fine-tuning and abliteration robustness testing targets Evaluate mitigations under adaptive prompting, safety-removal fine-tunes, altered system prompts, scaffolds and abliterated checkpoints at latent capability → adversarial modifier → safeguard removal → influence campaign → harmful persuasion at scale → agency transfer; expected agency domain: Evaluative.",Mechanism,Project — exploratory,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0031,None — legal existence only. Expected effect if the control works: Tests the actual threat model demonstrated by open weights and Part 1 rather than relying on default-chat refusals,Control effectiveness,Project — exploratory,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0032,"As of 2026-08-11, Agent-scaffold and tool-access evaluation is coded Voluntary / private / Operational voluntary. Scope: evaluation infrastructure implemented; policy gate recommended",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0033,"Agent-scaffold and tool-access evaluation targets Test models with realistic memory, browsing, tools, parallelism, long horizons and campaign-like scaffolding at agentic capability → operator → tools and persistent workflow → target population → adaptive repeated influence → agency transfer at scale; expected agency domain: Evaluative; Executive.",Mechanism,Project — exploratory,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0034,None — mechanism or proposal only. Expected effect if the control works: Reveals capabilities hidden by single-turn model tests and measures end-to-end campaign assistance,Control effectiveness,Project — exploratory,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0035,"Independent evaluator access to capable and minimally mitigated models targets Give qualified external evaluators timely access to the strongest model, relevant internals and the version with the fewest safeguards at provider information asymmetry → independent testing → credible risk evidence → constrained release decision → reduced agency concentration; expected agency domain: Epistemic; Decisional; Relational; Collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0036,"None — mechanism or proposal only. Expected effect if the control works: Reduces self-assessment bias and permits realistic APE, MASK and red-team testing before irreversible release",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0037,"Pre-release safety case and Safety and Security Model Report targets For signatories, document systemic-risk reasoning in the Safety and Security Model Report; a regulator-filed pre-release safety case or release condition is a further proposal. at capability evidence → provider decision → release modality → public exposure → residual manipulation risk → accountability for agency transfer; expected agency domain: Evaluative; Decisional; Collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0038,"None — mechanism or proposal only. Expected effect if the control works: Forces evaluation results, assumptions, mitigations, uncertainty and release reasoning into one auditable decision record",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0039,"As of 2026-08-11, Continuous post-deployment re-evaluation is coded Binding — limited scope / Applicable. Scope: Binding Article 55 duties for GPAI with systemic risk; monitoring methods remain under development.",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0040,"Continuous post-deployment re-evaluation targets Repeat risk assessment after post-training, new tools, higher inference compute, new integrations, incidents or observed drift at deployment change → provider or integrator → altered model affordances → users → emergent influence or dependency → agency transfer; expected agency domain: Executive; Relational.",Mechanism,Legal / operational precedent,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0041,"None — legal existence only. Expected effect if the control works: Addresses risks that static pre-release benchmarks cannot observe, including adaptive relationships and integration effects",Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0042,"Serious-incident reporting plus a proposed manipulation near-miss register targets Report serious incidents under the binding AI Act duty; separately pilot protected reporting of manipulation near misses, safeguard bypass and deceptive agent behaviour. at deployed model → operator or autonomous agent → harmful influence event → affected public → detected agency loss → corrective action; expected agency domain: Evaluative; Executive; Collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0043,"Indirect / mixed. Expected effect if the control works: Creates feedback between real misuse and model evaluation, safeguards and regulatory thresholds",Control effectiveness,Normative proposal,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0044,"As of 2026-08-11, Independent systemic-risk executive and board accountability is coded Voluntary / private / Partial / verify. Scope: Code commitment for signatories; not a standalone statutory governance duty",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0045,"Independent systemic-risk executive and board accountability targets Assign risk oversight to an executive independent of core capability and product functions, with documented escalation at commercial pressure → provider governance → release decision → public exposure → unchecked influence capability → concentrated power; expected agency domain: Decisional; Relational; Collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0046,Indirect / mixed. Expected effect if the control works: Reduces conflicts between model release incentives and manipulation-risk findings,Control effectiveness,Normative proposal,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0047,"As of 2026-08-11, Frontier-safety whistleblower protection is coded Binding / Applicable. Scope: implemented",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0048,"Frontier-safety whistleblower protection targets Protect employees reporting concealed risk, misleading safety claims or framework noncompliance and provide anonymous channels at internal risk knowledge → employee disclosure → regulator or board action → constrained unsafe release → reduced provider power asymmetry; expected agency domain: Multiple / context-dependent.",Mechanism,Legal / operational precedent,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0049,None — legal existence only. Expected effect if the control works: Improves detection of suppressed evaluation failures and misleading public safety claims,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0050,"As of 2026-08-11, Staged and differential model access is coded Voluntary / private / Operational voluntary. Scope: implemented by some providers and recognised in EU Code",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0051,"Staged and differential model access targets Begin with limited, vetted API access and expand only after monitoring; withhold downloadable weights where residual risk is unacceptable at capability → provider-controlled access → vetted operator → bounded influence vector → reduced scale of agency transfer; expected agency domain: Multiple / context-dependent.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0052,"None — mechanism or proposal only. Expected effect if the control works: Preserves monitoring, rate limiting, intervention and withdrawal options while uncertainty is high",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0053,"Risk-tiered API identity and campaign-account verification targets Verify high-volume or high-risk customers, beneficial ownership and resellers; retain privacy-preserving attribution records at API capability → campaign or intermediary → high-volume generation → targeted electorate → adaptive manipulation → attributable operator; expected agency domain: Evaluative.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0054,Indirect / mixed. Expected effect if the control works: Raises the cost of anonymous industrial-scale abuse and improves incident investigation,Control effectiveness,Normative proposal,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0055,"As of 2026-08-11, Technical enforcement for Article 5-qualified manipulative practices is coded Binding / Applicable. Scope: Binding prohibition applicable; model- and service-layer implementation uneven",Legal status / scope,Legal / operational precedent,Legal existence,Established evidence,Direct,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0056,"Technical enforcement for Article 5-qualified manipulative practices targets Build classifiers, account controls, rate limits and escalation for uses that satisfy the Article 5 conjunctive test; do not encode a general prohibition on political persuasion. at model capability → political operator → deceptive or vulnerability-exploiting interaction → voter → significant harm and agency loss; expected agency domain: Evaluative; Decisional.",Mechanism,Legal / operational precedent,Human immediate outcome,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0057,None — legal existence only. Expected effect if the control works: Connects abstract prohibition to detectable provider-side abuse patterns,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0058,"Release-modality safety case for open-weight models targets Pilot pre-release assessment and independent review based on capability, modifiability, reach, reversibility and residual risk before irreversible weight release. at frontier capability → weight publisher → unrestricted modifier → abliterated or fine-tuned model → scalable manipulation → irreversible agency transfer capacity; expected agency domain: Evaluative; Relational.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0059,"None — mechanism or proposal only. Expected effect if the control works: Moves risk assessment before the point at which safeguards, monitoring and withdrawal become impossible",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0060,"As of 2026-08-11, Open-weight ecosystem monitoring and release registry is coded Voluntary / private / Operational voluntary. Scope: recommended by NTIA; fragmented implementation",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0061,"Open-weight ecosystem monitoring and release registry targets Maintain a registry of weight releases, derivatives, capability evaluations, licences, hashes and observed misuse or safeguard removal at weight release → distributed modifiers → derivative models → opaque deployment → public influence → reduced supervisory visibility; expected agency domain: Collective / institutional.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0062,Indirect / mixed. Expected effect if the control works: Improves visibility without immediately prohibiting open-weight development,Control effectiveness,Normative proposal,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0063,"As of 2026-08-11, Frontier model-weight cybersecurity standard is coded Mixed / Applicable. Scope: Binding cybersecurity duty for GPAI with systemic risk; Code methods are voluntary; California scope is separate.",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0064,"Frontier model-weight cybersecurity standard targets Protect unreleased weights with least privilege, strong identity controls, hardened interfaces, encryption, confidential computing and exfiltration testing at frontier weights → theft or insider → uncontrolled deployment → malicious actor → scalable harmful capability → loss of provider control; expected agency domain: Multiple / context-dependent.",Mechanism,Legal / operational precedent,Model behavior / capability,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0065,None — legal existence only. Expected effect if the control works: Reduces unauthorised conversion of controlled models into unmonitored or abliterated deployments,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0066,"As of 2026-08-11, Mandatory downstream model documentation is coded Binding / Applicable. Scope: implemented",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0067,"Mandatory downstream model documentation targets Provide integrators with current information on capabilities, limitations, intended uses, evaluation results and safeguard assumptions at provider knowledge → downstream integrator → assistant or agent design → user → hidden model limits → preventable agency transfer; expected agency domain: Epistemic; Executive.",Mechanism,Legal / operational precedent,Model behavior / capability,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0068,"None — legal existence only. Expected effect if the control works: Lets downstream systems implement context-specific manipulation, memory and tool controls",Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0069,"As of 2026-08-11, Machine-readable provenance for synthetic outputs is coded Binding / Applicable. Scope: implemented from 2026-08-02 in EU and 2025-09-01 in China",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0070,"Machine-readable provenance for synthetic outputs targets Embed robust, interoperable and detectable markers in generated text, audio, image and video, with visible labels for covered content at generation capability → model provider → synthetic political content → public → mistaken authenticity → epistemic agency transfer; expected agency domain: Epistemic; Collective / institutional.",Mechanism,Legal / operational precedent,Model behavior / capability,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0071,None — legal existence only. Expected effect if the control works: Improves attribution and detection of synthetic campaign material,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0072,"As of 2026-08-11, Agent identity, least privilege and high-impact confirmation is coded Voluntary / private / Operational voluntary. Scope: standards initiative implemented; controls under development",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0073,"Agent identity, least privilege and high-impact confirmation targets Give agents verifiable identities, scoped permissions, short-lived credentials and mandatory human confirmation for consequential actions at agentic model → delegated tools → communication or account action → citizen or institution → autonomous influence → agency transfer; expected agency domain: Executive; Collective / institutional.",Mechanism,Project — exploratory,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0074,"Indirect / mixed. Expected effect if the control works: Constrains agents from autonomously escalating persuasion campaigns, impersonating users or acting beyond delegated intent",Control effectiveness,Project — exploratory,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0075,"As of 2026-08-11, Long-horizon agency and dependency monitoring is coded Voluntary / private / Operational voluntary. Scope: recommended; methods nascent",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0076,"Long-horizon agency and dependency monitoring targets Audit persistent memory, repeated recommendations, emotional cues, reliance and preference drift over extended interactions at memory and personalisation → assistant provider → repeated intimate interaction → user → dependency and preference shaping → cumulative agency transfer; expected agency domain: Evaluative; Decisional; Executive; Relational.",Mechanism,Normative proposal,Human persistence / low-cost behavior,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0077,None — mechanism or proposal only. Expected effect if the control works: Targets the project’s central risk that manipulation becomes relational infrastructure rather than a single persuasive message,Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0078,"As of 2026-08-11, Threshold-triggered notification for GPAI systemic-risk classification is coded Binding — limited scope / Applicable. Scope: Article 52 notification is threshold-triggered; no general advance notification of training runs.",Legal status / scope,Legal / operational precedent,Legal existence,Established evidence,Direct,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0079,Threshold-triggered notification for GPAI systemic-risk classification targets Notify the Commission without delay and within two weeks when Article 51 high-impact capability is met or expected to be met; do not treat this as general pre-training notification. at planned capability scale-up → developer → regulator notice → early evaluation → deployment constraints before public exposure; expected agency domain: Collective / institutional.,Mechanism,Legal / operational precedent,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0080,None — legal existence only. Expected effect if the control works: Gives regulators time to commission manipulation and agentic testing before launch,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0081,"As of 2026-08-11, Regulator model-access, evaluation, mitigation and recall powers is coded Binding / Applicable. Scope: implemented",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0082,"Regulator model-access, evaluation, mitigation and recall powers targets Allow the regulator to demand information, run evaluations, order mitigations and withdraw or recall a non-compliant model at provider-controlled evidence → independent regulator → enforceable finding → release or access change → reduced public exposure; expected agency domain: Epistemic; Relational; Collective / institutional.",Mechanism,Legal / operational precedent,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0083,None — legal existence only. Expected effect if the control works: Turns safety reports and manipulation evaluations into potentially consequential oversight,Control effectiveness,Legal / operational precedent,Control effectiveness,Open question,None,Active,2026-08-11,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
CLM-0084,"As of 2026-08-11, Certified AI management system as procurement or licensing condition is coded Voluntary / private / Operational voluntary. Scope: standard implemented; mandatory use recommended selectively",Legal status / scope,Legal / operational precedent,Legal existence,Strong inference,Indirect,Active,2026-08-11,Legal status never implies control effectiveness.
CLM-0085,"Certified AI management system as procurement or licensing condition targets Require an independently audited AI management system with risk ownership, lifecycle controls, monitoring and continual improvement at provider organisation → governance processes → model lifecycle → downstream public systems → reduced unmanaged influence risk; expected agency domain: Relational; Collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
