verification_id,source_id,verification_type,result,checked_on,checked_by,evidence_locator,next_review,notes
VER-0035,SRC-035,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0036,SRC-036,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0037,SRC-037,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0038,SRC-038,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0039,SRC-039,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0040,SRC-040,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0041,SRC-041,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0042,SRC-042,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0043,SRC-043,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0044,SRC-044,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0045,SRC-045,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0046,SRC-046,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0047,SRC-047,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0048,SRC-048,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0049,SRC-049,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0050,SRC-050,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0051,SRC-051,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0052,SRC-052,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0053,SRC-053,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0054,SRC-054,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0055,SRC-055,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0056,SRC-056,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0057,SRC-057,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0058,SRC-058,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0059,SRC-059,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0060,SRC-060,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0061,SRC-061,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0062,SRC-062,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0063,SRC-063,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0064,SRC-064,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0065,SRC-065,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0066,SRC-066,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0067,SRC-067,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0068,SRC-068,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0069,SRC-069,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0070,SRC-070,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0071,SRC-071,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0072,SRC-072,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0073,SRC-073,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0074,SRC-074,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0075,SRC-075,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0076,SRC-076,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0077,SRC-077,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0078,SRC-078,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0079,SRC-079,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0080,SRC-080,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0081,SRC-081,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0082,SRC-082,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0083,SRC-083,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0084,SRC-084,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0085,SRC-085,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0086,SRC-086,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0087,SRC-087,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0088,SRC-088,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0089,SRC-089,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0090,SRC-090,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0091,SRC-091,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0092,SRC-092,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0093,SRC-093,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
VER-0094,SRC-094,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0095,SRC-095,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
VER-0096,SRC-096,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0097,SRC-097,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0098,SRC-098,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0099,SRC-099,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0100,SRC-100,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0101,SRC-101,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0102,SRC-102,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0103,SRC-103,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0104,SRC-104,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0105,SRC-105,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0106,SRC-106,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0107,SRC-107,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0108,SRC-108,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0109,SRC-109,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0110,SRC-110,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0111,SRC-111,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0112,SRC-112,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0113,SRC-113,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
VER-0114,SRC-114,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
