legal_id,instrument_framework,jurisdiction,legal_force,status,scope,material_exclusions,authority_owner,application_publication,source_id,direct_url,last_checked
L-017,C2PA Technical Specification 2.4,International standard ecosystem,Non-binding / voluntary,Current specification,Cryptographically signed content credentials and provenance assertions.,"Participation gaps, stripping, laundering, capture-chain gaps, and no protection against truthful manipulation.",Coalition for Content Provenance and Authenticity,2025,SRC-043,https://spec.c2pa.org/specifications/specifications/2.4/specs/C2PA_Specification.html,2026-08-11
L-018,Canada Directive on Automated Decision-Making,Canada federal government,Binding,Operational,"Impact assessment, testing, peer review, notice, explanation, human intervention, recourse, and contingency controls.","Self-scoring, scope limits, and weak adaptation to general-purpose or generative systems.",Treasury Board of Canada Secretariat,Updated 2025-06-24,SRC-064,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,2026-08-11
L-019,UK Algorithmic Transparency Recording Standard,United Kingdom,Mixed / contextual,Operational,"Public disclosure of algorithmic tools, purpose, responsibility, data, risks, and contacts.","Completeness, update quality, and consequences for high-risk systems vary.",UK central government,Current guidance,,https://www.gov.uk/government/publications/guidance-for-organisations-using-the-algorithmic-transparency-recording-standard/algorithmic-transparency-recording-standard-guidance-for-public-sector-bodies,2026-08-11
L-020,Frontier AI Safety Commitments,International,Non-binding / voluntary,Adopted by signatories; implementation varies,"Risk frameworks, severe-risk thresholds, red teaming, reporting, and governance for frontier models.","Self-governance, catastrophic-risk emphasis, weak democratic-manipulation coverage, and no common enforcement.",Signatory companies and governments,2024-05-21,,https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024,2026-08-11
L-021,EU AI Act — Annex III 8(b) election-influence systems,EU/EEA,Binding — phased,Listed high-risk use case; main duties apply 2027-12-02,Systems intended to influence election/referendum outcomes or voting behaviour with direct exposure; administrative/logistical campaign tools excluded.,Administrative or logistical campaign tools that do not directly influence voters are excluded; obligations are not yet generally applicable.,European Commission; national authorities,2027-12-02,SRC-111,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02024R1689-20260727,2026-08-11
L-022,Code of Conduct on Disinformation under the DSA,EU/EEA,Binding,Auditable for signatories since 2025-07-01; first post-integration reports published 2026-03-24,"Demonetisation, political ads, coordinated manipulation, bots/impersonation/deepfakes, recommenders, researchers and election rapid response.","Commitments bind signatories through the code route, not all services; causal effect and private-channel coverage remain limited.",European Commission; signatory platforms,Integrated 2025-02-13 / auditable 2025-07-01,SRC-086,https://digital-strategy.ec.europa.eu/en/library/code-conduct-disinformation,2026-08-11
L-023,TSE Portaria 463/2026 — electoral compliance plans,Brazil,Binding,In force; plans due 2026-08-16; consolidated implementation reports due 2026-12-19,"Operationalises platform plans for social, messaging, video, search and generative/conversational AI: concrete controls, metrics, timelines, impact assessment, evidence preservation, channels and reporting.",Proportional-diligence regime rather than a guarantee of election outcomes; self-chosen indicators and limited independent access can weaken evaluation.,Tribunal Superior Eleitoral,2026-07-27,SRC-087,https://www.tse.jus.br/legislacao/compilada/prt/2026/portaria-no-463-de-27-de-julho-de-2026,2026-08-11
L-024,Unfair Commercial Practices Directive and Commission guidance,EU/EEA,Binding,In application,"Unfair, misleading and aggressive B2C practices; guidance can reach manipulative personalisation and dark-pattern commercial interfaces.",Does not generally govern non-commercial or electoral persuasion and is not an AI-specific loyalty duty.,National consumer authorities; courts; European Commission,2005; guidance 2021-12-29,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52021XC1229(05),2026-08-11
L-025,UK Online Safety Act — one-to-one chatbot coverage boundary,United Kingdom,Binding,In force under phased implementation,"Covers regulated search and user-to-user services, illegal content duties and specified harmful-content regimes.",A provider's one-to-one generative chatbot output is generally outside Part 3 unless another regulated function applies; lawful political misinformation is not a general regulated category.,Ofcom,2023; current Ofcom interpretation,SRC-091,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/ai-chatbots-and-online-regulation-what-you-need-to-know,2026-08-11
L-026,New York AI companion chatbot safeguards,"New York, United States",Binding,Enacted 2025; state implementation applies under the enacted provisions,"Disclosure that the system is not human, periodic reminders during sustained use and a protocol for self-harm or suicide expressions.","Relational-safety precedent, not evidence of political dependence or democratic agency transfer; jurisdiction and service definitions are narrow.",New York State,2025-05,SRC-092,https://www.governor.ny.gov/news/governor-hochul-signs-legislation-expanding-historic-empire-ai-consortium-and-establishing,2026-08-11
L-027,EU Digital Fairness Act,EU/EEA,Proposed,Proposal planned for Q4 2026; not binding as of 2026-08-11,"Expected to address dark patterns, addictive design, unfair personalisation and transparency around AI assistants.","Scope, duties, thresholds and enforcement are not final; diagnostic evidence must not be coded as intervention effectiveness.",European Commission,Planned Q4 2026,,https://commission.europa.eu/document/download/aa8d20ed-148f-4eaa-b8ea-92be7acdaee6_en?filename=CWP_2026_explained-version6_0.pdf,2026-08-11
L-028,NIST AI Agent Standards Initiative,United States / international use,Non-binding / voluntary,Operational; launched 2026-02-17 and updated 2026-04-20,"Agent standards and protocols, identity/authentication/authorization research, and security evaluation methods.","Voluntary and security-led; does not itself establish root-purpose provenance, political safeguards or a binding deployment gate.",NIST,2026-02-17,SRC-002,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,2026-08-11
