relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids,publication_relation_status
CS-0023,CLM-0042,SRC-007,Context only / pending claim check,Source supports P4-019 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0023,pending_claim_check
CS-0013,CLM-0045,SRC-004,Supports,Source supports P4-020 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-020; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0013; CS-0127,source_checked_not_eligible_for_claim_type
CS-0033,CLM-0047,SRC-013,Context only / pending claim check,Source supports P4-021 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0033,pending_claim_check
CS-0014,CLM-0051,SRC-004,Supports,Source supports P4-022 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-022; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0014; CS-0128,source_checked_not_eligible_for_claim_type
CS-0177,CLM-0055,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0177,claim_support_checked
CS-0035,CLM-0056,SRC-015,Context only / pending claim check,Source supports P4-024 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-024; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0035; CS-0129,pending_claim_check
CS-0024,CLM-0058,SRC-007,Context only / pending claim check,Source supports P4-025 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0024,pending_claim_check
CS-0018,CLM-0061,SRC-005,Context only / pending claim check,Source supports P4-026 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-026; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0018; CS-0130,pending_claim_check
CS-0015,CLM-0064,SRC-004,Supports,Source supports P4-027 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-027; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0015; CS-0131,source_checked_not_eligible_for_claim_type
CS-0025,CLM-0067,SRC-007,Context only / pending claim check,Source supports P4-028 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-028; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0025; CS-0132,pending_claim_check
CS-0036,CLM-0070,SRC-016,Context only / pending claim check,Source supports P4-029 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-029; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0036; CS-0133,pending_claim_check
CS-0005,CLM-0073,SRC-002,Context only / pending claim check,Source supports P4-030 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-030; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0005; CS-0134,pending_claim_check
CS-0038,CLM-0076,SRC-017,Context only / pending claim check,Source supports P4-031 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-031; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0038; CS-0135,pending_claim_check
CS-0178,CLM-0078,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0178,claim_support_checked
CS-0026,CLM-0079,SRC-007,Context only / pending claim check,Source supports P4-032 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-032; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0026; CS-0136,pending_claim_check
CS-0027,CLM-0082,SRC-007,Context only / pending claim check,Source supports P4-033 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-033; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0027; CS-0137,pending_claim_check
CS-0039,CLM-0085,SRC-018,Context only / pending claim check,Source supports P4-034 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-034; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0039; CS-0138,pending_claim_check
CS-0040,CLM-0088,SRC-019,Supports,Source supports P4-035 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-035; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0040; CS-0139,source_checked_not_eligible_for_claim_type
CS-0041,CLM-0091,SRC-020,Context only / pending claim check,Source supports P4-036 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-036; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0041; CS-0140,pending_claim_check
CS-0042,CLM-0094,SRC-021,Context only / pending claim check,Source supports P4-037 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0042,pending_claim_check
CS-0043,CLM-0097,SRC-022,Context only / pending claim check,Source supports P4-038 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0043,pending_claim_check
CS-0044,CLM-0099,SRC-023,Context only / pending claim check,Source supports P4-039 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-039; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0044; CS-0141,pending_claim_check
CS-0034,CLM-0101,SRC-013,Context only / pending claim check,Source supports P4-040 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0034,pending_claim_check
CS-0046,CLM-0105,SRC-024,Context only / pending claim check,Source supports P4-041 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-041; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0046; CS-0142,pending_claim_check
CS-0007,CLM-0108,SRC-003,Context only / pending claim check,Source supports P4-042 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-042; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0007; CS-0143,pending_claim_check
CS-0083,CLM-0108,SRC-053,Context only / pending claim check,Source supports P4-085 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-085; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0083; CS-0160,pending_claim_check
CS-0047,CLM-0110,SRC-025,Supports,Source supports P4-043 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0047,claim_support_checked
CS-0050,CLM-0113,SRC-025,Supports,Source supports P4-083 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0050,claim_support_checked
CS-0052,CLM-0114,SRC-026,Context only / pending claim check,Source supports P4-044 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-044; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0052; CS-0144,pending_claim_check
CS-0190,CLM-0115,SRC-026,Context only / not empirical evidence,The DSA Q&A anchors legal context for Article 25 but does not support the corrected experimental consent-interface claim.,Legal context only; no inference about regulatory effectiveness or agency transfer.,URL recorded — recheck before citation,Empirical support is recorded separately in CS-0194.,CS-0190,pending_claim_check
CS-0194,CLM-0115,SRC-115,Supports,The experiment directly estimated notice-acceptance changes under manipulated first-page button conditions.,"Bounded to injected cookie-consent notices, a 40-person United States sample, and binary acceptance; no policy-enforcement or agency endpoint, and no causal estimate of preference alignment.",Claim checked — empirical source,The study separately reports stated ideal preferences. The published confidence interval for the 23.1-point banner estimate appears internally inconsistent.,CS-0194,claim_support_checked
CS-0049,CLM-0116,SRC-025,Supports,Source supports P4-045 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0049,claim_support_checked
CS-0053,CLM-0120,SRC-027,Context only / pending claim check,Source supports P4-046 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-046; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0053; CS-0145,pending_claim_check
CS-0091,CLM-0120,SRC-059,Context only / pending claim check,Source supports P4-093 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0091,pending_claim_check
CS-0054,CLM-0123,SRC-028,Context only / pending claim check,Source supports P4-047 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0054,pending_claim_check
CS-0146,CLM-0123,SRC-086,Context only / pending claim check,Primary anchor retained from legacy P4-047; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0146,pending_claim_check
CS-0055,CLM-0126,SRC-029,Context only / pending claim check,Source supports P4-048 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-048; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0055; CS-0147,pending_claim_check
CS-0056,CLM-0128,SRC-030,Supports,Source supports P4-049 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0056,claim_support_checked
CS-0182,CLM-0131,SRC-030,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0182,claim_support_checked
CS-0057,CLM-0132,SRC-031,Context only / pending claim check,Source supports P4-050 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-050; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0057; CS-0148,pending_claim_check
CS-0183,CLM-0134,SRC-030,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0183,claim_support_checked
CS-0058,CLM-0135,SRC-031,Context only / pending claim check,Source supports P4-051 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-051; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0058; CS-0149,pending_claim_check
CS-0179,CLM-0137,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0179,claim_support_checked
CS-0037,CLM-0138,SRC-016,Context only / pending claim check,Source supports P4-052 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-052; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0037; CS-0150,pending_claim_check
CS-0059,CLM-0141,SRC-032,Context only / pending claim check,Source supports P4-053 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-053; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0059; CS-0151,pending_claim_check
CS-0060,CLM-0144,SRC-033,Context only / pending claim check,Source supports P4-054 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0060,pending_claim_check
CS-0061,CLM-0147,SRC-034,Context only / pending claim check,Source supports P4-055 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-055; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0061; CS-0152,pending_claim_check
CS-0062,CLM-0150,SRC-035,Context only / pending claim check,Source supports P4-056 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0062,pending_claim_check
CS-0063,CLM-0153,SRC-036,Context only / pending claim check,Source supports P4-057 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-057; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0063; CS-0153,pending_claim_check
CS-0064,CLM-0156,SRC-037,Context only / pending claim check,Source supports P4-058 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0064,pending_claim_check
CS-0065,CLM-0158,SRC-038,Context only / pending claim check,Source supports P4-059 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0065,pending_claim_check
CS-0066,CLM-0160,SRC-039,Context only / pending claim check,Source supports P4-060 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0066,pending_claim_check
CS-0067,CLM-0164,SRC-040,Context only / pending claim check,Source supports P4-061 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0067,pending_claim_check
CS-0068,CLM-0168,SRC-042,Context only / pending claim check,Source supports P4-063 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0068,pending_claim_check
CS-0069,CLM-0171,SRC-043,Context only / pending claim check,Source supports P4-064 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-064; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0069; CS-0154,pending_claim_check
CS-0155,CLM-0174,SRC-044,Context only / pending claim check,Primary anchor retained from legacy P4-065; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0155,pending_claim_check
CS-0070,CLM-0177,SRC-045,Context only / pending claim check,Source supports P4-066 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-066; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0070; CS-0156,pending_claim_check
CS-0071,CLM-0180,SRC-046,Context only / pending claim check,Source supports P4-067 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0071,pending_claim_check
CS-0191,CLM-0181,SRC-046,Context only / product policy,The WhatsApp FAQ anchors the existence of product forwarding rules but does not support the corrected observational label-coverage claim.,"Product-policy context only; no causal inference about delay, reach, virality, or harm.",URL recorded — recheck before citation,Empirical support is recorded separately in CS-0195.,CS-0191,pending_claim_check
CS-0195,CLM-0181,SRC-116,Supports,The study directly measured FMT-label coverage among duplicated-media appearances in selected public political groups.,"Descriptive conditional endpoint only; no causal effect on cost, delay, reach, virality, encryption, or harm.",Claim checked — empirical source,"Selected public groups do not represent WhatsApp, private chats, or other jurisdictions.",CS-0195,claim_support_checked
CS-0157,CLM-0183,SRC-047,Context only / pending claim check,Primary anchor retained from legacy P4-068; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0157,pending_claim_check
CS-0192,CLM-0184,SRC-047,Supports,The experiments directly support the corrected immediate technique-recognition endpoint.,"Bounded to the techniques, populations, stimuli, and follow-up windows studied.",Claim checked — empirical source,"Does not support pluralism, reflective agency, election behaviour, or durable effects.",CS-0192,claim_support_checked
CS-0072,CLM-0186,SRC-048,Context only / pending claim check,Source supports P4-069 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-069; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0072; CS-0158,pending_claim_check
CS-0019,CLM-0188,SRC-006,Context only / pending claim check,Source supports P4-070 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0019,pending_claim_check
CS-0184,CLM-0188,SRC-049,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0184,claim_support_checked
CS-0073,CLM-0191,SRC-049,Supports,Source supports P4-071 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0073,claim_support_checked
CS-0074,CLM-0194,SRC-049,Supports,Source supports P4-072 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0074,claim_support_checked
CS-0185,CLM-0197,SRC-049,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0185,claim_support_checked
CS-0080,CLM-0197,SRC-050,Context only / pending claim check,Source supports P4-073 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0080,pending_claim_check
CS-0075,CLM-0200,SRC-049,Supports,Source supports P4-074 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0075,claim_support_checked
CS-0076,CLM-0203,SRC-049,Supports,Source supports P4-075 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0076,claim_support_checked
CS-0077,CLM-0206,SRC-049,Supports,Source supports P4-076 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0077,claim_support_checked
CS-0020,CLM-0209,SRC-006,Context only / pending claim check,Source supports P4-077 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0020,pending_claim_check
CS-0159,CLM-0209,SRC-087,Supports,Primary anchor retained from legacy P4-077; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0159,claim_support_checked
CS-0021,CLM-0212,SRC-006,Context only / pending claim check,Source supports P4-078 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0021,pending_claim_check
CS-0081,CLM-0215,SRC-051,Context only / pending claim check,Source supports P4-079 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0081,pending_claim_check
CS-0078,CLM-0218,SRC-049,Supports,Source supports P4-080 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0078,claim_support_checked
CS-0079,CLM-0221,SRC-049,Supports,Source supports P4-081 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0079,claim_support_checked
CS-0082,CLM-0224,SRC-052,Context only / pending claim check,Source supports P4-082 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0082,pending_claim_check
CS-0048,CLM-0227,SRC-025,Supports,Source supports P4-043 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0048,claim_support_checked
CS-0085,CLM-0230,SRC-054,Context only / pending claim check,Source supports P4-086 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0085,pending_claim_check
