relation_id,implementation_id,gap_id,relation,materiality,notes
IG-019,I-013,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-020,I-014,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-021,I-015,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-022,I-017,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-023,I-120,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-024,I-001,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-025,I-002,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-026,I-003,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-027,I-004,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-028,I-015,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-029,I-030,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-030,I-109,G-03,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-031,I-005,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-032,I-012,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-033,I-031,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-034,I-074,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-035,I-086,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-036,I-087,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-037,I-107,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-038,I-108,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-039,I-110,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-040,I-111,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-041,I-116,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-042,I-117,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-043,I-118,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-044,I-119,G-04,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-045,I-007,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-046,I-022,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-047,I-025,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-048,I-026,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-049,I-027,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-050,I-028,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-051,I-029,G-05,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-052,I-005,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-053,I-008,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-054,I-012,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-055,I-024,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-056,I-031,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-057,I-041,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-058,I-065,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-059,I-068,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-060,I-074,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-061,I-082,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-062,I-120,G-06,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-063,I-023,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-064,I-042,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-065,I-045,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-066,I-049,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-067,I-050,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-068,I-051,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-069,I-056,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-070,I-059,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-071,I-065,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-072,I-066,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-073,I-069,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-074,I-074,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-075,I-081,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-076,I-105,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-077,I-108,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-078,I-119,G-07,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-079,I-004,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-080,I-054,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-081,I-057,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-082,I-067,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-083,I-076,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-084,I-079,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-085,I-080,G-08,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-086,I-029,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-087,I-052,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-088,I-058,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-089,I-063,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-090,I-064,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-091,I-070,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-092,I-071,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-093,I-073,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-094,I-076,G-09,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-095,I-008,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-096,I-031,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-097,I-039,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-098,I-074,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-099,I-086,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-100,I-087,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-101,I-088,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-102,I-089,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-103,I-097,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-104,I-105,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-105,I-106,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-106,I-107,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-107,I-108,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-108,I-109,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-109,I-110,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-110,I-111,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-111,I-113,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-112,I-119,G-10,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-113,I-034,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-114,I-035,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-115,I-039,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-116,I-040,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-117,I-090,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-118,I-098,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-119,I-099,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-120,I-100,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-121,I-101,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-122,I-102,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-123,I-112,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-124,I-113,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-125,I-114,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-126,I-115,G-11,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-127,I-005,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-128,I-006,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-129,I-008,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-130,I-012,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-131,I-014,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-132,I-031,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-133,I-035,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-134,I-041,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-135,I-042,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-136,I-043,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-137,I-044,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-138,I-045,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-139,I-046,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-140,I-048,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-141,I-052,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-142,I-054,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-143,I-058,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-144,I-064,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-145,I-065,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-146,I-067,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-147,I-068,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-148,I-074,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-149,I-075,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-150,I-076,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-151,I-077,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-152,I-082,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-153,I-086,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-154,I-087,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-155,I-090,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-156,I-095,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-157,I-101,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-158,I-107,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-159,I-108,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-160,I-109,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-161,I-110,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-162,I-111,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-163,I-116,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-164,I-117,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-165,I-118,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-166,I-119,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-167,I-120,G-12,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-168,I-004,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-169,I-007,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-170,I-016,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-171,I-026,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-172,I-033,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-173,I-040,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-174,I-041,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-175,I-046,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-176,I-058,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-177,I-094,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-178,I-116,G-13,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-179,I-024,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-180,I-035,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-181,I-049,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-182,I-050,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-183,I-051,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-184,I-052,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-185,I-063,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-186,I-065,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-187,I-066,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-188,I-082,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-189,I-090,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-190,I-091,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-191,I-096,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-192,I-101,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-193,I-105,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-194,I-107,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-195,I-111,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-196,I-117,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-197,I-118,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-198,I-120,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-199,I-121,G-14,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-200,I-111,G-15,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-201,I-113,G-15,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-202,I-117,G-15,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-203,I-118,G-15,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-204,I-119,G-15,Validation / evidence gap,Material,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-205,I-031,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-206,I-074,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-207,I-103,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-208,I-107,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-209,I-108,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-210,I-111,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-211,I-119,G-16,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
