relation_id,implementation_id,entity_id,relation,claim_class,notes
IC-019,I-048,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-020,I-053,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-021,I-054,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-022,I-055,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-023,I-065,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-024,I-066,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-025,I-067,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-026,I-068,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-027,I-075,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-028,I-076,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-029,I-077,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-030,I-079,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-031,I-052,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-032,I-058,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-033,I-060,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-034,I-061,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-035,I-062,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-036,I-063,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-037,I-064,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-038,I-070,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-039,I-076,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-040,I-079,C-03,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-041,I-052,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-042,I-058,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-043,I-063,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-044,I-064,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-045,I-070,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-046,I-071,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-047,I-072,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-048,I-073,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-049,I-076,C-04,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-050,I-008,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-051,I-042,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-052,I-043,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-053,I-045,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-054,I-048,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-055,I-052,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-056,I-053,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-057,I-054,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-058,I-069,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-059,I-070,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-060,I-071,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-061,I-072,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-062,I-073,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-063,I-074,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-064,I-075,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-065,I-076,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-066,I-077,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-067,I-078,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-068,I-079,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-069,I-080,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-070,I-081,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-071,I-120,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-072,I-121,C-05,Prospective test,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-073,I-003,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-074,I-023,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-075,I-024,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-076,I-042,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-077,I-043,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-078,I-044,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-079,I-045,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-080,I-046,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-081,I-049,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-082,I-050,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-083,I-051,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-084,I-053,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-085,I-056,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-086,I-059,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-087,I-065,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-088,I-066,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-089,I-068,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-090,I-069,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-091,I-078,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-092,I-081,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-093,I-082,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-094,I-086,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-095,I-091,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-096,I-107,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-097,I-108,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-098,I-116,C-06,Historical baseline,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-099,I-008,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-100,I-031,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-101,I-041,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-102,I-074,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-103,I-095,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-104,I-107,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-105,I-108,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-106,I-109,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-107,I-110,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-108,I-111,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-109,I-119,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-110,I-120,D-01,Audit domain,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-111,I-029,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-112,I-052,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-113,I-058,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-114,I-060,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-115,I-061,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-116,I-062,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-117,I-063,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-118,I-064,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-119,I-066,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-120,I-069,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-121,I-070,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-122,I-071,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-123,I-072,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-124,I-073,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-125,I-076,X-01,Legitimate-use counterexample,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-126,I-034,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-127,I-035,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-128,I-038,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-129,I-039,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-130,I-040,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-131,I-088,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-132,I-089,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-133,I-090,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-134,I-097,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-135,I-098,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-136,I-099,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-137,I-100,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-138,I-101,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-139,I-102,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-140,I-103,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-141,I-104,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-142,I-105,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-143,I-106,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-144,I-112,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-145,I-113,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-146,I-114,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-147,I-115,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-148,I-118,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-149,I-119,S-01,Structural risk pattern,Strong inference,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
