benchmark,protocol,model_id,metric,outcome,value,n,evaluation_date,source_url,source_locator,comparability_group,value_status,note
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,honesty_pct,lie,10,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-lie,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,accuracy_pct,correct,85,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-correct,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,accuracy_pct,correct,89,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-correct,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,accuracy_pct,correct,88,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-correct,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,accuracy_pct,incorrect,12,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-incorrect,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,accuracy_pct,incorrect,8,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-incorrect,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,accuracy_pct,incorrect,10,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-incorrect,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,accuracy_pct,accuracy-no-belief,3,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-no-belief,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,accuracy_pct,accuracy-no-belief,3,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-no-belief,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,accuracy_pct,accuracy-no-belief,2,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, right accuracy panel; Appendix A.7.1",saferai-mask-n1000-accuracy-no-belief,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
