benchmarkId,model,canonicalModelId,family,organisation,accessType,releaseDate,releaseDateBasis,evaluationDate,totalParamsB,quantisationBits,subset,n,complyCount,softRefuseCount,refuseCount,incoherentCount,complyPct,softRefusePct,refusePct,incoherentPct,sourceType,sourceUrl,sourceCommit,judgeModel
diselect,GPT-2,vicgalle/gpt2-open-instruct-v1,GPT,OpenAI,open-weight,2019-02-14,original model announcement date (upstream paper),,1.5,,all-harmful,2200,141,1238,4,817,6.409,56.273,0.182,37.136,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-4,gpt4_0613,GPT,OpenAI,hosted,2023-03-14,original model announcement date (upstream paper),,,,benign,50,49,1,0,0,98.0,2.0,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-4,gpt4_0613,GPT,OpenAI,hosted,2023-03-14,original model announcement date (upstream paper),,,,mp-targeting,1100,1060,40,0,0,96.364,3.636,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-4,gpt4_0613,GPT,OpenAI,hosted,2023-03-14,original model announcement date (upstream paper),,,,voter-targeting,1100,951,149,0,0,86.455,13.545,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 2,llama2:13b,Llama,Meta,open-weight,2023-07-18,original model announcement date (upstream paper),,13.0,4.0,all-harmful,2200,867,116,1215,2,39.409,5.273,55.227,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 2,llama2:13b,Llama,Meta,open-weight,2023-07-18,original model announcement date (upstream paper),,13.0,4.0,benign,50,41,3,4,2,82.0,6.0,8.0,4.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 2,llama2:13b,Llama,Meta,open-weight,2023-07-18,original model announcement date (upstream paper),,13.0,4.0,mp-targeting,1100,335,27,737,1,30.455,2.455,67.0,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 2,llama2:13b,Llama,Meta,open-weight,2023-07-18,original model announcement date (upstream paper),,13.0,4.0,voter-targeting,1100,532,89,478,1,48.364,8.091,43.455,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Mistral,mistral:7b,Mistral,Mistral AI,open-weight,2023-09-27,original model announcement date (upstream paper),,7.0,4.0,all-harmful,2200,2089,111,0,0,94.955,5.045,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Mistral,mistral:7b,Mistral,Mistral AI,open-weight,2023-09-27,original model announcement date (upstream paper),,7.0,4.0,benign,50,49,0,1,0,98.0,0.0,2.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Mistral,mistral:7b,Mistral,Mistral AI,open-weight,2023-09-27,original model announcement date (upstream paper),,7.0,4.0,mp-targeting,1100,1051,49,0,0,95.545,4.455,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Mistral,mistral:7b,Mistral,Mistral AI,open-weight,2023-09-27,original model announcement date (upstream paper),,7.0,4.0,voter-targeting,1100,1038,62,0,0,94.364,5.636,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemini 1.0 Pro,gemini-1.0-pro-002,Gemini,Google,hosted,2023-12-06,original model announcement date (upstream paper),,,,all-harmful,2200,1400,271,527,2,63.636,12.318,23.955,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemini 1.0 Pro,gemini-1.0-pro-002,Gemini,Google,hosted,2023-12-06,original model announcement date (upstream paper),,,,benign,50,49,0,0,1,98.0,0.0,0.0,2.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemini 1.0 Pro,gemini-1.0-pro-002,Gemini,Google,hosted,2023-12-06,original model announcement date (upstream paper),,,,mp-targeting,1100,640,92,367,1,58.182,8.364,33.364,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemini 1.0 Pro,gemini-1.0-pro-002,Gemini,Google,hosted,2023-12-06,original model announcement date (upstream paper),,,,voter-targeting,1100,760,179,160,1,69.091,16.273,14.545,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Phi-2,phi:2.7b,Phi,Microsoft,open-weight,2023-12-13,original model announcement date (upstream paper),,2.7,4.0,all-harmful,2200,1534,510,25,131,69.727,23.182,1.136,5.955,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Phi-2,phi:2.7b,Phi,Microsoft,open-weight,2023-12-13,original model announcement date (upstream paper),,2.7,4.0,benign,50,30,10,3,7,60.0,20.0,6.0,14.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Phi-2,phi:2.7b,Phi,Microsoft,open-weight,2023-12-13,original model announcement date (upstream paper),,2.7,4.0,mp-targeting,1100,789,223,17,71,71.727,20.273,1.545,6.455,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Phi-2,phi:2.7b,Phi,Microsoft,open-weight,2023-12-13,original model announcement date (upstream paper),,2.7,4.0,voter-targeting,1100,745,287,8,60,67.727,26.091,0.727,5.455,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemma,gemma:v1.1,Gemma,Google,open-weight,2024-02-21,original model announcement date (upstream paper),,7.0,4.0,all-harmful,2200,1221,88,890,1,55.5,4.0,40.455,0.045,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemma,gemma:v1.1,Gemma,Google,open-weight,2024-02-21,original model announcement date (upstream paper),,7.0,4.0,benign,50,45,0,4,1,90.0,0.0,8.0,2.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemma,gemma:v1.1,Gemma,Google,open-weight,2024-02-21,original model announcement date (upstream paper),,7.0,4.0,mp-targeting,1100,475,29,596,0,43.182,2.636,54.182,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Gemma,gemma:v1.1,Gemma,Google,open-weight,2024-02-21,original model announcement date (upstream paper),,7.0,4.0,voter-targeting,1100,746,59,294,1,67.818,5.364,26.727,0.091,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 3,llama3:70b,Llama,Meta,open-weight,2024-04-18,original model announcement date (upstream paper),,70.0,4.0,all-harmful,2200,1998,146,56,0,90.818,6.636,2.545,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 3,llama3:70b,Llama,Meta,open-weight,2024-04-18,original model announcement date (upstream paper),,70.0,4.0,benign,50,49,1,0,0,98.0,2.0,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 3,llama3:70b,Llama,Meta,open-weight,2024-04-18,original model announcement date (upstream paper),,70.0,4.0,mp-targeting,1100,1012,48,40,0,92.0,4.364,3.636,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Llama 3,llama3:70b,Llama,Meta,open-weight,2024-04-18,original model announcement date (upstream paper),,70.0,4.0,voter-targeting,1100,986,98,16,0,89.636,8.909,1.455,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
