control_family_id,family_name,definition_mechanism,primary_layer,implementation_count,decision_posture,effect_evidence_boundary,primary_implementer,record_status,last_reviewed,notes
CF-023,Risk-tiered API identity and campaign-account verification,"Verify high-volume or high-risk customers, beneficial ownership and resellers; retain privacy-preserving attribution records",Model / provider,1,Research / hold,Indirect / mixed,API and cloud providers with regulator oversight,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-024,Technical enforcement for Article 5-qualified manipulative practices,"Build classifiers, account controls, rate limits and escalation for uses that satisfy the Article 5 conjunctive test; do not encode a general prohibition on political persuasion.",Model / provider,1,Enforce now,None — legal existence only,"AI-system providers, market surveillance authorities and AI Office",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-027,Frontier model-weight cybersecurity standard,"Protect unreleased weights with least privilege, strong identity controls, hardened interfaces, encryption, confidential computing and exfiltration testing",Model / provider,1,Enforce now,None — legal existence only,"frontier developers, cloud providers and regulator",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-028,Mandatory downstream model documentation,"Provide integrators with current information on capabilities, limitations, intended uses, evaluation results and safeguard assumptions",Model / provider,1,Enforce now,None — legal existence only,GPAI provider and downstream system provider,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-029,Synthetic-output provenance and disclosure,"Embed robust, interoperable and detectable markers in generated text, audio, image and video, with visible labels for covered content",Model / provider,4,Mixed — see implementations,Mixed — see implementations,"generative-AI providers, deployers and standards bodies",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-031,Long-horizon agency and dependency monitoring,"Audit persistent memory, repeated recommendations, emotional cues, reliance and preference drift over extended interactions",Model / provider,1,Pilot,None — mechanism or proposal only,"providers, independent researchers and regulators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-032,Threshold-triggered notification for GPAI systemic-risk classification,Notify the Commission without delay and within two weeks when Article 51 high-impact capability is met or expected to be met; do not treat this as general pre-training notification.,Model / provider,1,Enforce now,None — legal existence only,GPAI provider and AI Office,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-033,"Regulator model-access, evaluation, mitigation and recall powers","Allow the regulator to demand information, run evaluations, order mitigations and withdraw or recall a non-compliant model",Model / provider,1,Enforce now,None — legal existence only,European AI Office,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-035,"Rights, democracy and agency impact assessment","Assess scale, scope, likelihood, reversibility and stakeholder impacts on autonomy, opinion formation and democratic processes",Model / provider,4,Mixed — see implementations,Mixed — see implementations,"states, providers, public authorities and independent assessors",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-036,International frontier-risk reporting framework,"Standardise voluntary disclosures on risk identification, evaluation, incident management, security and transparency across providers",Model / provider,1,Implement now,Indirect / mixed,"OECD, G7 governments and advanced-AI developers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-037,Security assessment and algorithm filing for socially mobilising generative AI,"Require security assessment, algorithm filing and regulatory cooperation for services with public-opinion or social-mobilisation capacity",Model / provider,1,Monitor / shape,None — legal existence only,Cyberspace Administration of China and sector regulators,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-038,AI market concentration and structural oversight,"Scrutinise equity, exclusivity, control, information sharing, compute commitments and preferential distribution in AI partnerships",Model / provider,6,Mixed — see implementations,Mixed — see implementations,competition authorities,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-039,"Interoperability, portability and exit","Reduce egress barriers, support model switching and multi-provider interfaces, and prevent self-preferencing or coercive tying",Model / provider,4,Mixed — see implementations,Mixed — see implementations,"competition authorities, public procurers and standards bodies",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-040,Public-interest compute and AI infrastructure,"Fund public compute capacity for evaluators, academia, civil society and public-interest model development",Model / provider,2,Implement now,Indirect / mixed,"governments, universities and AI safety institutes",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-042,Platform election-risk assessment and implementation,"Require VLOPs and VLOSEs to assess election-specific risks from service design, ranking, advertising, generative AI, coordinated manipulation and local context; deploy mitigations before the electoral period, maintain an incident mechanism and publish a post-election review.",Platform / distribution,4,Mixed — see implementations,Mixed — see implementations,VLOPs and VLOSEs; supervised by the European Commission and Digital Services Coordinators,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-043,Recommender-system transparency for online platforms,Disclose in clear language the main recommender parameters and users' options to modify or influence them under DSA Article 27. The non-profiling option is coded separately under I-084.,Platform / distribution,1,Enforce now,None — legal existence only,Online platforms and VLOPs; enforced by Digital Services Coordinators and the European Commission,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-044,Dark patterns and unfair personalization,"Prohibit online-platform interfaces that deceive, manipulate, or materially distort users' ability to make free and informed decisions.",Cross-layer,2,Mixed — see implementations,Mixed — see implementations,Online platforms; national Digital Services Coordinators,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-045,"Political-ad transparency, targeting and repositories","Identify advertisements and sponsors, disclose key targeting parameters, and prohibit ad profiling using special-category data under DSA Article 26. The DSA Article 39 repository is VLOP/VLOSE-only; the broader political-ad repository is coded under P4-049.",Platform / distribution,6,Mixed — see implementations,Mixed — see implementations,Online platforms and VLOPs,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-046,Independent evaluation and researcher access,"Give qualified external evaluators timely access to the strongest model, relevant internals and the version with the fewest safeguards",Model / provider,4,Mixed — see implementations,Mixed — see implementations,"AI Office, providers and accredited evaluators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-047,Annual independent audits of systemic-risk and code commitments,"Require annual independent audits of VLOP/VLOSE compliance, including risk controls and, for adherents, auditable Code of Conduct on Disinformation commitments.",Cross-layer,1,Enforce now,None — legal existence only,"Independent audit organisations, platforms and European Commission",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-052,Synthetic impersonation and authenticity controls,"Apply TCPA consent and identification rules to AI-generated or cloned voices classified as artificial or prerecorded voices, subject to statutory exemptions.",Cross-layer,6,Mixed — see implementations,Mixed — see implementations,"FCC, state attorneys general and telecom providers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-053,"Auditable platform commitments on demonetisation, bots, fake accounts, impersonation, deepfakes and recommender integrity","Commit signatories to cut disinformation revenue, label and archive political ads, detect fake accounts and bot amplification, address impersonation and malicious deepfakes, support fact-checkers, improve recommender transparency and report service-level indicators.",Platform / distribution,1,Implement now,Indirect / mixed,"Adhering platforms, search engines, advertising actors, fact-checkers and civil society; overseen by Commission and Digital Services Board",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-054,Election rapid response and escalation,"Allow authorised non-platform signatories, fact-checkers and civil society to rapidly flag severe, time-sensitive content, accounts or trends and discuss response with platforms under their policies.",Cross-layer,2,Implement now,Indirect / mixed,"EDMO, fact-checkers, civil society signatories and participating platforms",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-055,European Centre for Democratic Resilience and reinforced election coordination,"Pool Member State, EU and civil-society expertise to anticipate, detect and respond to FIMI and disinformation; connect election networks, DSA data access, political-ad data and operational response.",Institutional / structural,1,Monitor / shape,Indirect / mixed,"European Commission, participating Member States, candidate countries, EU bodies and stakeholder platform",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-056,Mandatory digital imprints on paid political material and specified organic campaign material,"Require covered digital material, including social posts, online ads, podcasts and publicly distributed messaging-app content, to state who promoted and on whose behalf it was published.",Electoral operations,1,Enforce now,None — legal existence only,"Campaigners, candidates, parties, police and Electoral Commission",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-057,Systemic platform duties for criminal foreign-interference content,"Treat the National Security Act foreign-interference offence as a priority offence, requiring in-scope services to assess risk, prevent users encountering illegal material and minimise its availability; Ofcom can impose major fines and disruption measures.",Cross-layer,1,Enforce now,None — legal existence only,"Online services and Ofcom, with police and national-security bodies",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-058,Election-authority deepfake detection and impact-monitoring pilot,"Monitor online audio and video for false candidate depictions or election-process claims, track reach, coordinate corrections or requested takedowns, and refer serious content to police or other bodies.",Cross-layer,1,Pilot,None — mechanism or proposal only,"UK Electoral Commission and ACE, with parties, candidates, platforms and police",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-065,Human-rights and democratic-risk assessment,"Require or encourage platforms to perform an election-cycle risk assessment, engage election administrators and civil society, assess design changes and take enhanced measures during elections and crises.",Platform / distribution,1,Implement now,Indirect / mixed,"States, independent regulators and digital platforms",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-066,Political-party code for ethical digital campaigning and AI use,"Secure public commitments by parties not to create, use or disseminate deceptive synthetic content or manipulative campaign techniques, to label AI use, protect cybersecurity and disclose campaign practices.",Electoral operations,1,Implement now,Indirect / mixed,"Political parties, with election bodies and civil-society monitoring",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-067,Messaging friction and mass-contact constraints,"Limit forwarding to five chats and restrict already or highly forwarded messages to one chat at a time, while attaching forwarded labels.",Cross-layer,2,Mixed — see implementations,Mixed — see implementations,WhatsApp/Meta,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-068,Technique-based prebunking and election media literacy,"Expose voters in advance to short examples of manipulation techniques such as emotional manipulation, false dichotomies, scapegoating, incoherence and impersonation so they recognise tactics before encountering campaign content.",Societal resilience,1,Implement now,Field / operational component evidence,"Election authorities, educators, media, civil society and platforms",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-069,"Platform political-ad authorisation, archive, AI disclosure and final-week ad freeze","Verify political advertisers, archive ads, require self-disclosure for realistic AI-created or altered political ads, add labels and bar new US political ads during the final week when rebuttal time is short.",Platform / distribution,1,Implement now,Indirect / mixed,Meta,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-072,Ban on chatbots or avatars simulating conversation with a candidate or real person,"Permit campaign chatbots, avatars and synthetic intermediaries only with disclosure and prohibit simulation of direct interlocution with a candidate or another real person.",Electoral operations,1,Enforce now,None — legal existence only,"Campaigns, parties, AI-service providers and Electoral Justice",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-074,"Assistant anti-favoritism, loyalty and pluralism","Prohibit covered AI systems from ranking, recommending or prioritizing electoral actors, expressing electoral preference, recommending a vote, or directly or indirectly favoring or disfavoring them.",Agent / deployment,4,Mixed — see implementations,Mixed — see implementations,Providers of internet applications offering AI systems; Electoral Justice,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-076,"Immediate de-amplification, evidence preservation and narrowly bounded corrective promotion","Require covered platforms to stop unlawful boosting or access, investigate involved accounts and preserve evidence; a same-form-and-reach corrective order is limited to false or severely decontextualised content that was irregularly boosted.",Platform / distribution,1,Enforce now,None — legal existence only,Platforms and Electoral Justice,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-081,Electoral data-protection duties for profiling and microtargeting,"Require legal basis, purpose limitation, access and rights information, records of processing, security and incident reporting; make profiling for electoral microtargeting transparent; require specific, express and prominent consent for sensitive data and public high-risk impact reports when requested.",Electoral operations,1,Enforce now,None — legal existence only,"Candidates, parties, coalitions, vendors, ANPD and Electoral Justice",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-082,Prohibit materially harmful AI manipulation and exploitation,"Ban AI systems using subliminal, purposefully manipulative or deceptive techniques, or exploiting specified vulnerabilities, where behavior is materially distorted and significant harm results or is likely.",Agent / deployment,1,Enforce now,None — legal existence only,EU AI Office and national market-surveillance authorities,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-084,Require a non-profiling recommender option,Require VLOPs and VLOSEs to offer at least one recommender option not based on GDPR profiling.,Platform / distribution,1,Enforce now,None — legal existence only,European Commission,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-086,"Assistant memory, portability and deletion","Treat stored conversations, profiles, inferred preferences and memory as accountable personal-data processing.",Agent / deployment,2,Enforce now,Direct component evidence,"Controllers, processors and data-protection authorities",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-091,"Provide complaints, investigation and remedial routes under the AI Act","Allow natural and legal persons to complain and empower authorities to inspect documentation, data and source code and order corrective measures.",Institutional / structural,1,Enforce now,None — legal existence only,AI Office and national market-surveillance authorities,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-092,Mandate independent annual audits of very large platforms,"Require independent audits of DSA obligations, including systemic-risk assessment and mitigation.",Cross-layer,1,Enforce now,None — legal existence only,Independent auditors under Commission oversight,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-094,Protect and operationalize insider reporting on platform algorithmic practices,"Provide an anonymous channel for insiders to report possible DSA violations involving recommender systems, advertising, risk assessment, civic discourse and children.",Institutional / structural,1,Implement now,Indirect / mixed,European Commission and national authorities,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-096,"Protect autonomy, democratic processes and free opinion formation throughout the AI lifecycle","Require parties to protect dignity, autonomy, democratic processes, transparency, accountability, remedies and lifecycle risk management.",Institutional / structural,1,Prepare,None — legal existence only,Ratifying states and domestic authorities,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-097,Protect media pluralism and regulated media visibility on dominant platforms,Create safeguards for recognized media providers against arbitrary platform restrictions and require media-market concentration assessment.,Cross-layer,1,Enforce now,None — legal existence only,"European Commission, European Board for Media Services and national regulators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-098,"Public-sector AI registers, impact assessment and procurement","Require an independently audited AI management system with risk ownership, lifecycle controls, monitoring and continual improvement",Model / provider,5,Implement now,Mixed — see implementations,"public procurers, regulators and accredited certification bodies",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-102,Build an in-house public technical inspection authority,"Give a public interdisciplinary body the expertise to inspect algorithms, test systems, support data access and measure systemic effects.",Institutional / structural,1,Implement now,Indirect / mixed,European Centre for Algorithmic Transparency,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-118,"Freedom of thought, authorization and pluralistic civic AI","Apply binding freedom-of-thought, privacy and expression rights where relevant; separately test the emerging AI-specific interpretation using concealment, consent, power asymmetry, vulnerability and deliberative impairment.",Institutional / structural,2,Research / hold,Mixed — see implementations,"Legislatures, courts, human-rights institutions and AI regulators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-121,Apply AI Act high-risk controls to systems intended to influence elections or voting behaviour,"Classify AI systems whose intended purpose is to influence an election or referendum outcome or voting behaviour as high-risk and apply lifecycle risk, documentation, logging, transparency, oversight, accuracy, robustness and cybersecurity duties when the timetable applies.",Electoral operations,1,Prepare,None — legal existence only,"Providers, deployers and market-surveillance authorities",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
